QUEST_LV_0500_20190419_000001	I would rather have someone else do it if it's something that absolutely needs doing.{nl}Why does it always have to be me?	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20190419_000002	怪物和魔族氾滥…{nl}至少不用担心遇到强盗了。{nl}只要能活著回去的话。	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.				케도라 상단원 타다스
QUEST_LV_0500_20190419_000003	花好几天侦查，又要花好几天回报！{nl}这样事情什麽时候才会做完啊？	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?				바바리안 볼케
QUEST_LV_0500_20190419_000004	我是来协助塔达斯的。{nl}不是来收拾波尔凯闯的祸。	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.				케도라 상단원 니르기
QUEST_LV_0500_20190419_000005	我骗过了卡鲁塔斯，没有让他抢走神树的种子。{nl}如果解开这束缚，就可以借助种子的力量恢复力量。	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.				여신 메데이나
QUEST_LV_0500_20190419_000006	卡鲁塔斯在这片森林设下结界追赶我的原因是什麽呢…{nl}难道他真的知道这颗种子的存在吗？	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?				여신 메데이나
QUEST_LV_0500_20190419_000007	我一调养好身体，就要马上去找奈凌卡。{nl}奈凌卡一定知道从卡鲁塔斯手中拯救梅德依那女神的方法的。	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.				큐폴 아스트라
QUEST_LV_0500_20190419_000008	啊，启示者！这片森林被设下了邪恶的结界，进来的话很危险的！{nl}请快离开吧！	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!				큐폴 아스트라
QUEST_LV_0500_20190419_000009	由于卡鲁塔斯在这一带的森林设下了结界，以目前梅迪安娜的力量是无法离开这裡的。{nl}梅迪安娜女神需要快点恢复气力才行啊…	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..				큐폴 일로나
QUEST_LV_0500_20190419_000010	如果卡鲁塔斯发现这裡就完蛋了。{nl}启示者，请你帮助梅德依那女神恢复过来吧。	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.				큐폴 일로나
QUEST_LV_0500_20190419_000011	虽然陷入了束缚的结界裡…还好依罗娜平安无事。{nl}启示者，请你找找有没有解除结界的方法。	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.				큐폴 율리아
QUEST_LV_0500_20190419_000012	快和依罗娜一起去找梅德依那女神吧。	어서 일로나와 함께 메데이나님을 찾으러 가 봐요.				큐폴 율리아
QUEST_LV_0500_20190419_000013	梅德依那女神的踪迹到这边就断了，去别院裡面看看怎麽样？	메데이나님의 흔적이 이 앞에서 끊겼으니 이 안뜰 안쪽을 확인해보는 게 어떨까요?				큐폴 율리아
QUEST_LV_0500_20190419_000014	梅德依那女神平安无事，真是太好了！{nl}必须破坏对女神设下的魔界移动法阵才行…	메데이나님이 무사하셔서 다행이에요!{nl}그보다 메데이나님에게 펼쳐진 마계 이동 마법진을 파훼해야 할텐데..				큐폴 율리아
QUEST_LV_0500_20190419_000015	启示者！请清除对梅德依那女神设下的魔界移动法阵。{nl}卡鲁塔斯现在不在，是个好机会。	계시자님! 메데이나님에게 펼쳐진 마계 이동 마법진을 없애주세요.{nl}카르타스가 없는 지금이 기회에요.				큐폴 일로나
QUEST_LV_0500_20190419_000016	多亏了启示者才能解开梅德依那女神的结界呢。{nl}现在得赶紧离开这裡…	계시자님 덕분에 메데이나님이 결계를 풀어낼 수 있었네요.{nl}어서 이곳을 벗어나야 할 텐데..				큐폴 일로나
QUEST_LV_0500_20190419_000017	在辅助魔法阵中注入魔力，让它超载很有效呢。	보조 마법진에 마력을 과부하 되게 주입하는 게 효과가 있었네요.				큐폴 율리아
QUEST_LV_0500_20190419_000018	啊…都是因为我们，梅德依那女神她…	아.. 저희 때문에 메데이나님이..				큐폴 율리아
QUEST_LV_0500_20190419_000019	梅德依那女神…	메데이나님..				큐폴 일로나
QUEST_LV_0500_20190419_000020	我来得太晚了…	제가 너무 늦었어요..				큐폴 아스트라
QUEST_LV_0500_20190419_000021	虽然梅德依那女神被卡鲁塔斯抓走了…{nl}启示者热心帮助我们寻找梅德依那女神的事，我们会铭记在心的。	비록 메데이나님이 카르타스에게 붙잡혀 가셨지만..{nl}저희는 계시자님께서 메데이나님을 찾는 일에 적극적으로 도와주신 것을 기억하고 있어요.{nl}				큐폴 아스트라
QUEST_LV_0500_20200129_000022	消灭努卡战士、努欧暗杀者	누카 전사, 누오 암살자 처치				
QUEST_LV_0500_20200129_000023	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在特比勒图玛斯要塞消灭努卡战士、努欧暗杀者。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000024	消灭艾可拉斯沛达尔战士	아클라스 페탈 전사 처치				
QUEST_LV_0500_20200129_000025	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在特比勒图玛斯要塞消灭艾可拉斯沛达尔战士。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000026	消灭生灵盔甲	리빙 아머 처치				
QUEST_LV_0500_20200129_000027	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在特比勒图玛斯要塞消灭生灵盔甲。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000028	消灭伊嘉兰卡	일가란카 처치				
QUEST_LV_0500_20200129_000029	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在特比勒图玛斯要塞消灭伊嘉兰卡。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000030	消灭普洛格斯哥布林骑士、内克	블로거즈 고블린 라이더, 넥코 처치				
QUEST_LV_0500_20200129_000031	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在斯卡尔达外城消灭普洛格斯哥布林骑士、内克。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000032	消灭灰狼	그레이 울프 처치				
QUEST_LV_0500_20200129_000033	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在斯卡尔达外城消灭灰狼。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000034	消灭普洛格斯哥布林弓箭手	블로거즈 고블린 궁수 처치				
QUEST_LV_0500_20200129_000035	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在斯卡尔达外城消灭普洛格斯哥布林弓箭手。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000036	消灭灰狼首领	그레이 울프 치프 처치				
QUEST_LV_0500_20200129_000037	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在斯卡尔达外城消灭灰狼首领。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000038	消灭半兽人杀手	오크 살수병 처치				
QUEST_LV_0500_20200129_000039	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在林克斯玛斯废墟消灭半兽人杀手。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000040	消灭半兽人咒术师	오크 주술사 처치				
QUEST_LV_0500_20200129_000041	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在林克斯玛斯废墟消灭半兽人咒术师。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000042	消灭半兽人盾兵	오크 방패병 처치				
QUEST_LV_0500_20200129_000043	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在林克斯玛斯废墟消灭半兽人盾兵。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000044	消灭半兽人队长	오크 리더 처치				
QUEST_LV_0500_20200129_000045	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在林克斯玛斯废墟消灭半兽人队长。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000046	消灭林克斯玛斯废墟的怪物	링크스마스 폐허의 몬스터 처치				
QUEST_LV_0500_20200129_000047	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在林克斯玛斯废墟消灭足够数量的怪物。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000048	消灭半兽人重炮手	오크 캐논병 처치				
QUEST_LV_0500_20200129_000049	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在终结之路消灭 半兽人重炮手。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 캐논병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000050	消灭半兽人旗帜兵	오크 깃발병 처치				
QUEST_LV_0500_20200129_000051	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在终结之路消灭 半兽人旗帜兵。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 깃발병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000052	消灭半兽人首领	오크 대장 처치				
QUEST_LV_0500_20200129_000053	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在终结之路消灭半兽人首领。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 대장 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000054	消灭终结之路的怪物	종언의 길의 몬스터 처치				
QUEST_LV_0500_20200129_000055	由于柯拉佩达委託所传达员兰达的委託。{nl}必须在终结之路消灭足够数量的怪物。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000056	由于柯拉佩达委託所传达员兰达的委託，必须在特比勒图玛斯要塞消灭努卡战士、努欧暗杀者。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000057	由于柯拉佩达委託所传达员兰达的委託，必须在特比勒图玛斯要塞消灭艾可拉斯沛达尔战士。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000058	由于柯拉佩达委託所传达员兰达的委託，必须在特比勒图玛斯要塞消灭生灵盔甲。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000059	由于柯拉佩达委託所传达员兰达的委託，必须在特比勒图玛斯要塞消灭伊嘉兰卡。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000060	由于柯拉佩达委託所传达员兰达的委託，必须在斯卡尔达外城消灭普洛格斯哥布林骑士、内克。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000061	由于柯拉佩达委託所传达员兰达的委託，必须在斯卡尔达外城消灭灰狼。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000062	由于柯拉佩达委託所传达员兰达的委託，必须在斯卡尔达外城消灭普洛格斯哥布林弓箭手。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.				
QUEST_LV_0500_20200129_000063	由于柯拉佩达委託所传达员兰达的委託，必须在斯卡尔达外城消灭灰狼首领。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.				
