UI_20150317_000001	{@st41b}Lerne Attribute{nl}von den Meistern der jeweiligen Klasse.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Attributsliste {/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}Schließen{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}Attribute lernen{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}Schließen{/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}Silber{/}	{@st41b}소지금{/}				
UI_20150317_000007	Eigene Erfolge	나의 업적				
UI_20150317_000008	Serverrangliste	서버 랭킹				
UI_20150317_000009	{@st59}Es ist ein unerwartetes Event verfügbar.{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}Es gibt eine neue Hilfenachricht.{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}Möchtest du wirklich diese Art von Pfeil herstellen?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}Einmal{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}Alle{/}	{@st41b}모두{/}				
UI_20150317_000014	{@st41b}Pause{/}	{@st41b}중단{/}				
UI_20150317_000015	{@st43}Abenteuernotizbuch{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@st43}Auktionshaus{/}	{@st43}경매장{/}				
UI_20150317_000017	{@st59}Schließen{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{@st41b}Verkaufte Gegenstände: ×%s; nicht verkaufte Gegenstände: ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@st43}{s22}Gegenstandsauktion{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}Schließen{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	Avalest	아베일레스트				
UI_20150317_000022	{@st41b}Verbleibende Zeit	{@st41b}남은 시간				
UI_20150317_000023	3 Stunden, 16 Minuten	3시간 16분				
UI_20150317_000024	{@st41b}Startpreis	{@st41b}시작가				
UI_20150317_000025	{@st41b}Gebote	{@st41b}입찰수				
UI_20150317_000026	{@st41b}Aktueller Preis	{@st41b}현재가				
UI_20150317_000027	{@st41b}Gebotspreis	{@st41b}입찰금				
UI_20150317_000028	{@st41b}Mindestgebotspreis: {@st57}%s{@st41b} Silber{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@st41b}Bieten{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@st43b}Jetzt kaufen!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}Berechtigungseinstellungen{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@st45}Name: %s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@st45}Gruppenlager{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@st49}Keines	{@st49}없음				
UI_20150317_000035	{@st49}Lagern	{@st49}넣기				
UI_20150317_000036	{@st49}Abholen	{@st49}가져오기				
UI_20150317_000037	{@st45}Umfrage{/}	{@st45}설문{/}				
UI_20150317_000038	{@st49}Erstellen	{@st49}작성				
UI_20150317_000039	{@st49}Löschen	{@st49}삭제				
UI_20150317_000040	{@st44}Speichern{/}	{@st44}저장{/}				
UI_20150317_000041	{@st44}Abbrechen{/}	{@st44}취소{/}				
UI_20150317_000042	{@st43}{s22}Frisurenladen{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}Vorherige Frisur{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@st59}Nächste Frisur{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b} Ändern {s18}(100 TP erforderlich) {/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@st59}Zur ausgewählten Frisur wechseln.{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@st41}Abbrechen	{@st41}해약				
UI_20150317_000048	{@st43}Schwarzmarkt{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	Buchtitel	책이름				
UI_20150317_000050	{@St59}Nicht weiterlesen{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}Vorherige Seite{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}Nächste Seite{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}%s ist erschienen!	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}Punktzahl{/}	{@st43}스코어{/}				
UI_20150317_000055	Erlittener Schaden	받은 데미지				
UI_20150317_000056	Technikbonus	테크닉 보너스				
UI_20150317_000057	Ausweichbonus	회피 보너스				
UI_20150317_000058	Benötigte Zeit	클리어 시간				
UI_20150317_000059	Gesamtpunktzahl	총 점수				
UI_20150317_000060	{@st42}Verstrichene Zeit	{@st42}경과 시간				
UI_20150317_000061	10 Minuten	10분				
UI_20150317_000062	10 Sekunden	10초				
UI_20150317_000063	{@st44}Abgeschlossen	{@st44}마감하기				
UI_20150317_000064	{@st59}Schließen{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}Verkaufsautomat für Verstärkungen	{@st43}버프 자판기				
UI_20150317_000066	Name des Verkaufsautomaten	자판기 이름				
UI_20150317_000067	{@st43}Registrieren	{@st43}등록				
UI_20150317_000068	{@st43}Abbrechen	{@st43}취소				
UI_20150317_000069	Verkaufsautomat für Verstärkungen	버프 자판기				
UI_20150317_000070	{@st59}Schließen	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}Verkaufsautomat für Verstärkungen{nl} – Bezahle mit Silber, um von anderen Spielern Verstärkungen zu erhalten.	{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	Wagenmenü	마차메뉴				
UI_20150317_000073	{ol}{s22}Aussteigen{/}	{ol}{s22}내리기{/}				
UI_20150317_000074	Wirken	캐스팅				
UI_20150317_000075	{@st43}Spieleinstellungen{/}	{@st43}게임설정{/}				
UI_20150317_000076	{@st64}Verwende die Pfeiltasten, um eine Zelle auszuwählen!	{@st64}방향키를 입력해 셀을 선택하세요!				
