QUEST_LV_0500_20190419_000001	誰かがしなければならないことならば、他の人にしてほしいですよ。{nl}どうして私にこんなことをさせるのでしょうか。	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20190419_000002	モンスターと魔族がいっぱいで…{nl}少なくとも強盗に遭う心配は無さそうだな。{nl}生きて帰れるなら、の話だけど。	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.	케도라 상단원 타다스
QUEST_LV_0500_20190419_000003	偵察するのに数日、報告するのにまた数日！{nl}この調子じゃあ、いつになったら仕事が終わるんだ？	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?	바바리안 볼케
QUEST_LV_0500_20190419_000004	私はタダス様を手伝いに来たのであって{nl}ボルケ様が起こしたトラブルの後始末をしに来たわけじゃありません。	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.	케도라 상단원 니르기
QUEST_LV_0500_20190419_000005	カルタスの目を欺いて神樹の種を奪われずに済みました。{nl}この拘束を解けば、種の能力で力を回復できるはずです。	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.	여신 메데이나
QUEST_LV_0500_20190419_000006	カルタスがこの森に巨大な結界を張ってまで私を追う理由は何でしょうか…{nl}本当にこの種の存在を知っているのでしょうか？	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?	여신 메데이나
QUEST_LV_0500_20190419_000007	私は体が回復し次第、ネリンガ様を訪ねてみるつもりです。{nl}ネリンガ様ならば、きっとカルタスからメデイナ様を救う方法をご存知のはずです。	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.	큐폴 아스트라
QUEST_LV_0500_20190419_000008	ああ！啓示者様！この森には邪悪な結界が張られているので、入ってはいけません！{nl}すぐに出てください！	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!	큐폴 아스트라
QUEST_LV_0500_20190419_000009	カルタスが森一帯に張った結界のせいで、今のメデイナ様の力では{nl}ここから出ることができません。{nl}メデイナ様が早く回復してくださるといいのですが…。	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..	큐폴 일로나
QUEST_LV_0500_20190419_000010	カルタスがここを発見したら大変です。{nl}メデイナ様が回復できるように、あなたの力をお貸しください。	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.	큐폴 일로나
QUEST_LV_0500_20190419_000011	束縛の結界にかかりはしましたが…それでもイローナが無事で何よりです。{nl}啓示者様、結界を解除する方法が無いか、調べていただけませんか？	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.	큐폴 율리아
QUEST_LV_0500_20190419_000012	さあ、イローナと一緒にメデイナ様を探しに行ってください。	어서 일로나와 함께 메데이나님을 찾으러 가 봐요.	큐폴 율리아
QUEST_LV_0500_20190419_000013	メデイナ様の痕跡はこの先で途絶えているので、{nl}この中庭を確認してみてはいかがでしょうか？	메데이나님의 흔적이 이 앞에서 끊겼으니 이 안뜰 안쪽을 확인해보는 게 어떨까요?	큐폴 율리아
QUEST_LV_0500_20190419_000014	メデイナ様がご無事で何よりです！{nl}それよりも、メデイナ様にかけられた魔界移動の魔法陣を破棄しないと…	메데이나님이 무사하셔서 다행이에요!{nl}그보다 메데이나님에게 펼쳐진 마계 이동 마법진을 파훼해야 할텐데..	큐폴 율리아
QUEST_LV_0500_20190419_000015	啓示者様！メデイナ様にかけられた魔界移動の魔法陣を消してください。{nl}カルタスがいない今がチャンスです。	계시자님! 메데이나님에게 펼쳐진 마계 이동 마법진을 없애주세요.{nl}카르타스가 없는 지금이 기회에요.	큐폴 일로나
QUEST_LV_0500_20190419_000016	啓示者様のおかげでメデイナ様が結界から解き放たれました。{nl}すぐにここから離れないと…	계시자님 덕분에 메데이나님이 결계를 풀어낼 수 있었네요.{nl}어서 이곳을 벗어나야 할 텐데..	큐폴 일로나
QUEST_LV_0500_20190419_000017	補助魔法陣に魔力を過剰に注入したのが効きましたね。	보조 마법진에 마력을 과부하 되게 주입하는 게 효과가 있었네요.	큐폴 율리아
QUEST_LV_0500_20190419_000018	ああ…私たちのせいでメデイナ様が…	아.. 저희 때문에 메데이나님이..	큐폴 율리아
QUEST_LV_0500_20190419_000019	メデイナ様…	메데이나님..	큐폴 일로나
QUEST_LV_0500_20190419_000020	私が遅すぎたのですね…	제가 너무 늦었어요..	큐폴 아스트라
QUEST_LV_0500_20190419_000021	メデイナ様はカルタスに捕らわれてしまいましたが…{nl}私たちは啓示者様がメデイナ様をお探しするのを積極的に手伝ってくださったことを忘れません。{nl}	비록 메데이나님이 카르타스에게 붙잡혀 가셨지만..{nl}저희는 계시자님께서 메데이나님을 찾는 일에 적극적으로 도와주신 것을 기억하고 있어요.{nl}	큐폴 아스트라
QUEST_LV_0500_20200129_000022	ヌカウォリアー、ヌオアサシンを退治	누카 전사, 누오 암살자 처치	
QUEST_LV_0500_20200129_000023	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でヌカウォリアー、ヌオアサシンを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000024	アクラスペタルウォリアーを退治	아클라스 페탈 전사 처치	
QUEST_LV_0500_20200129_000025	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でアクラスペタルウォリアーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000026	リビングアーマーを退治	리빙 아머 처치	
QUEST_LV_0500_20200129_000027	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でリビングアーマーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000028	イルガランカを退治	일가란카 처치	
QUEST_LV_0500_20200129_000029	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でイルガランカを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000030	ブロガーズゴブリンライダー、ネッコを退治	블로거즈 고블린 라이더, 넥코 처치	
QUEST_LV_0500_20200129_000031	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でブロガーズゴブリンライダー、ネッコを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000032	グレーウルフを退治	그레이 울프 처치	
QUEST_LV_0500_20200129_000033	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でグレーウルフを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000034	ブロガーズゴブリンアーチャーを退治	블로거즈 고블린 궁수 처치	
QUEST_LV_0500_20200129_000035	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でブロガーズゴブリンアーチャーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000036	グレーウルフチーフを退治	그레이 울프 치프 처치	
QUEST_LV_0500_20200129_000037	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でグレーウルフチーフを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000038	ダブルアックスオークを退治	오크 살수병 처치	
QUEST_LV_0500_20200129_000039	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でダブルアックスオークを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000040	オークシャーマンを退治	오크 주술사 처치	
QUEST_LV_0500_20200129_000041	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でオークシャーマンを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000042	オーク盾兵を退治	오크 방패병 처치	
QUEST_LV_0500_20200129_000043	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でオーク盾兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200129_000044	オークリーダーを退治	오크 리더 처치	
