QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員	필리파스 직속 부대원	
QUEST_LV_0200_20150317_000002	怪物的攻物越來越猛烈了。{nl}雖然已經做好了覺悟，但還是很害怕。	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.	필리파스 직속 부대원
QUEST_LV_0200_20150317_000003	It doesn't matter - I can give up my life today, or be a dead man tomorrow.	내일 죽을 몸이라면 오늘 목숨을 바쳐도 상관없습니다.	필리파스 직속 부대원
QUEST_LV_0200_20150317_000004	指揮官 巴塞寧	지휘관 바세닌	
QUEST_LV_0200_20150317_000005	不論如何都要解決劣質的補給和兵力。{nl}果然還是依序突破卡汀森林每個地點比較好嗎？	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.	지휘관 바세닌
QUEST_LV_0200_20150317_000006	雖然大家都很辛苦，但直到完全找回卡汀森林的那一刻為止都不能放棄。	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.	지휘관 바세닌
QUEST_LV_0200_20150317_000007	上級長官 皮爾力巴斯	선임장교 필리파스	
QUEST_LV_0200_20150317_000008	我想要和平的世界。{nl}為了這個目標我要更奮發圖強才行。	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.	선임장교 필리파스
QUEST_LV_0200_20150317_000009	為了找回被怪物搶走的森林我什麼都能做。{nl}就算要犧牲性命也在所不惜。	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.	필리파스 직속 부대원
QUEST_LV_0200_20150317_000010	我們前方的部隊已變成皮爾力巴斯大人的專屬部隊了。{nl}只要是皮爾力巴斯大人下達的命令，就算是火坑也會跳。	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.	필리파스 직속 부대원
QUEST_LV_0200_20150317_000011	無論何時都是抱持著今天就是最後一天的覺悟活著。{nl}口袋裡隨身攜帶的遺書就是我們的覺悟。	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.	필리파스 직속 부대원
QUEST_LV_0200_20150317_000012	軍官皮爾利克斯	장교 필릭스	
QUEST_LV_0200_20150317_000013	The Entrance of Kateen Forest is rather on the safe side, but please refrain from going any deeper than this.	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 왠간하면 포기하시오.	
QUEST_LV_0200_20150317_000014	脆弱的貓頭鷹雕像	약한 부엉이 조각상	
