QUEST_JOBSTEP_20150317_000001	Bokor คุณได้เลือกทางที่ยากแล้ว{nl}ตามคำแนะนำในบันทึกการผจญภัยของคุณแล้วทำตุ๊กตาของคุณเอง	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000002	คุณต้องสร้างตุ๊กตาด้วยตัวคุณเอง{nl}ตรวจสอบ Adventure Journal ของคุณเพื่อดูว่าจะสามารถสร้างตุ๊กตาได้อย่างไร	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000003	ยินดีด้วย Bokor คนใหม่ได้กำเนิดแล้ว {nl}ตอนที่ฉันเลือกเส้นทางการเป็น Bokor ครั้งแรกนั้น ฉันก็ได้เริ่มสร้างตุ๊กตาด้วยตัวฉันเองเลย	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}				
QUEST_JOBSTEP_20150317_000004	Peltasta Master	펠타스타 마스터				
QUEST_JOBSTEP_20150317_000005	หากคุณต้องการให้ฉันสอนล่ะก็ คุณจำเป็นต้องพิสูจน์ว่าคุณนั้นคู่ควรเสียก่อน{nl}นี่คือบทพิสูจน์ของคุณ กำจัดพวก Vubbe ที่ชั้นแรกของ Crystal Mine	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}				
QUEST_JOBSTEP_20150317_000006	คุณกล้าถือตัวว่าเป็น Peltasta ได้อย่างไรกัน หากคุณไม่สามารถจัดการกับเรื่องแบบนั้นได้	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?				펠타스타 마스터
QUEST_JOBSTEP_20150317_000007	ยอดเยี่ยม{nl}ฉันหวังว่าการเติบโตของคุณจะช่วยโลกนี้ไว้ได้	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.				펠타스타 마스터
QUEST_JOBSTEP_20150317_000008	Highlander Master	하이랜더 마스터				
QUEST_JOBSTEP_20150317_000009	ฉันรู้สึกขอบคุณมากที่คุณอยากเป็นผู้สืบทอดตำแหน่งดาบของฉัน แต่ฉันสงสัยว่าคุณจะไม่ปฏิบัติตามคำสอนของฉันอย่างดี {nl} ฉันจะทดสอบคุณโดยการเอาชนะพวก Vubbe ที่ครองชั้น 1 ของ Crystal Mine	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.				
QUEST_JOBSTEP_20150317_000010	เร็วเข้า{nl}แม้ว่านี่จะเป็นเพียงการทดสอบเริ่มต้นของคุณ แต่พวก Vubbe ก็กำลังรุกราน Miners' Village อยู่นะ	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.				하이랜더 마스터
