QUEST_LV_0400_20161012_000001	凱都拉商團員艾達	케도라 상단원 알타	
QUEST_LV_0400_20161012_000002	因為擔心才過來的，但實在不想自己一個人進到那裡面去，{nl}所以我才這麼拜託你的。	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.	케도라 상단원 알타
QUEST_LV_0400_20161012_000003	又不知道裡面有什麼，怎麼進去呢？{nl}還有那些怪物...	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..	케도라 상단원 알타
QUEST_LV_0400_20161012_000004	難民之間流傳著一個阿爾蘭必傳說，{nl}我想確認那傳說的真實性。	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.	케도라 상단원 알타
QUEST_LV_0400_20161012_000005	{nl}裡面說不定會有商團想要的物品...{nl}你如果要在這洞穴裡探險的話，就順便幫我找一下傭兵團，這對你我都有好處嘛。	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.	케도라 상단원 알타
QUEST_LV_0400_20161012_000006	{nl}這本書送你。{nl}別什麼都不知道就進去，這本書應該對你會有點幫助。	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.	케도라 상단원 알타
QUEST_LV_0400_20161012_000007	祭司 林塔斯	사제 린타스	
QUEST_LV_0400_20161012_000008	祭司林塔斯正在修改紀念碑的內容。{nl}作業時間變長了。	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.	사제 린타스
QUEST_LV_0400_20161012_000009	托你的福，修正完紀念碑了。{nl}現在是該掌握一下祭司奇達斯和布魯納斯的進行狀況了。	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.	사제 린타스
QUEST_LV_0400_20161012_000010	烏格尼斯	우그니스	
QUEST_LV_0400_20161012_000011	雖然得到幫助，卻還是找不著造箭者之箭。{nl}先整理好這邊的事情，回到師父那去吧。	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.	우그니스
QUEST_LV_0400_20161012_000012	亞奎爾拉斯	아퀼라스	
QUEST_LV_0400_20161012_000013	為了學習箭術，才跟著來到這裡，但師父什麼都不教我，只會要我找弓箭...{nl}要是知道只是要來找弓箭的，我才不會選這麼辛苦的路哩...{nl}	궁술을 배우려고 여기까지 따라왔건만 알려주는 건 별거 없고 화살을 찾으라니..{nl}화살 찾으러 다닌다는 사실만 알았어도 이런 고생길에 나서진 않았을 거야.. {nl}	아퀼라스
QUEST_LV_0400_20161012_000014	利迪亞夏班也是。{nl}既然用那造箭者之箭還什麼的殺了集布理納斯，怎麼不把弓箭收走，就這麼丟著？	리디아 샤펜도 그렇지. {nl}플레세트인지 뭔지로 지부리나스를 죽였으면 화살을 수거해 가야지 그냥 두고가?	아퀼라스
