QUEST_LV_0300_20150323_000001	พวกเราออกเดินทางจากกองบัญชาการมาถึงที่นี่ก็เพื่อให้การสนับสนุนอัศวินแห่ง Kaliss{nl}หากคุณมีสิ่งใดสงสัยสามารถหาคำตอบได้จากกองบัญชาการที่จัตุรัส Verkti	칼리스 기사단을 지원하기 위해 본부에서 떨어져 나와 이런 곳에 있습니다.{nl}궁금한 것이 있다면 베르크티 광장에 있는 본부 쪽으로 알아보시기 바랍니다.	경비병 라일
QUEST_LV_0300_20150323_000002	แต่เดิมฉันเป็นคนค้าขาย {nl}หลังจากวัน Medzio Diena ฉันตัดสินใจพักอยู่ที่นี่เพราะคิดว่าจะปลอดภัยมากที่สุด{nl}แต่ดูเหมือนจะคิดผิด	전 원래 행상인이었습죠.{nl}신수의 날 이후 여기가 제일 안전한 것 같아서 정착했는데.. 아니었나봅니다요.	상인 둘케
QUEST_LV_0300_20150323_000003	ฉันได้พบกับเหล่า Revelator มากมายระหว่างการเดินทาง{nl}ในความคิดของฉันท่านเหล่านั้นมีบางสิ่งพิเศษซ่อนอยู่ไม่ได้มีแต่ความแข็งแกร่งเท่านั้น	여기저기 떠돌아다니면서 계시자라는 사람들을 많이 만나 봤습죠.{nl}제 생각엔.. 계시자님이 특별한 건 단지 강하기 때문만은 아닐 거라는 겁니다요.	상인 둘케
QUEST_LV_0300_20150323_000004	ฉันไม่เคยโทษเทพเจ้าหรือเหล่านักบวช{nl}แต่ฉันคิดว่ามันคงมากเกินไปที่จะรอและเชื่อเพียงเพราะคำบอกเล่า	여신과 사제님들을 탓하자는 건 아니야.{nl}하지만 무작정 믿고 기다리라는 건 좀 너무한 것 같아.{nl}	주민 에밀
QUEST_LV_0300_20150323_000005	ผนึกที่อยู่ในหมู่บ้านมันถูกผนึกเอาไว้ นั่นแหละเหตุผลที่ทำมันถึงถูกเรียกว่าผนึก{nl}ฉันคิดว่านั่นแหละคือสิ่งที่พวกนักบวชใช้เพื่อสร้างความน่ากลัวให้พวกเรา	마을에 있는 봉인이 닫혀 있으니까 봉인이지 무슨 대수겠어?{nl}사제님들이 괜히 겁을 주는 거라고 생각해.	주민 에밀
QUEST_LV_0300_20150323_000006	พวกนักบวชไม่อยากให้ใครรู้ว่าผนึกในหมู่บ้านมีความสำคัญยังไง{nl}พวกเขาคิดแต่เพียงว่าการเสียสละตัวเองแบบนั้นเป็นหน้าที่{nl}และทุกสิ่งที่ทำนั้นเป็นสิ่งที่ถูกต้องแล้ว	사제님들은 마을에 있는 봉인이 얼마나 중요한 건지 알게 되길 원치 않으세요.{nl}자신들이 희생하면 그걸로 된 거라면서요.	약사 티아나
QUEST_LV_0300_20150323_000007	มีนักบวชบางคนต้องการเปิดเผยเรื่องราวอย่างจริงใจต่อชาวบ้าน{nl}เพราะอย่างนี้ ถ้ามีเรื่องราวใหญ่โตเกิดขึ้น	사제님들이 마을사람들과 좀 더 솔직한 이야기를 나누었으면 하는 마음도 있어요.{nl}이러다 정말 큰일이라도 벌어진다면..	약사 티아나
QUEST_LV_0300_20150323_000008	พลังชั่วร้ายทำให้ป่าเสื่อมโทรมและทำให้สิ่งมีชีวิตไม่สามารถอาศัยอยู่ได้{nl}และนั่นคือปัญหาใหญ่ที่สุดที่หมู่บ้านของเรากำลังเผชิญอยู่	사악한 기운은 숲을 썩게 만들어 생명이 살아갈 수 없는 땅으로 만들어 버립니다.{nl}저희 마을이 품고 있는 가장 큰 문제이기도 하지요.	사제 다지네
QUEST_LV_0300_20150323_000009	ท่านเทพธิดา{nl}ผนึกของหมู่บ้านจะไม่เป็นไรจริงๆ ใช่ไหม	여신이시여..{nl}마을의 봉인은 정말 괜찮은 걸까요..	사제 다지네
QUEST_LV_0300_20150323_000010	ต่อไปนั้นพวกปีศาจคงจะเข้าจู่โจมผนึกและโจมตีเข้ามาอย่างต่อเนื่อง{nl}ไม่รู้ว่าจะต้านทานอยู่ได้นานเท่าไรในเมื่อเทพธิดา Austeja ยังคงสูญหาย	앞으로도 봉인을 노리고 마족들이 끊임없이 공격해오겠지요.{nl}아우스테야 여신께서 부재중이신 상태로 언제까지 버틸 수 있을지..	사제 다지네
QUEST_LV_0300_20150323_000011	มันเป็นความผิดของพวกเราที่พยายามจะจัดการเรื่องพวกนี้ด้วยตัวเอง{nl}นับตั้งแต่นี้เป็นต้นไป เราจะต้องบอกความจริงทั้งหมดแก่ชาวบ้าน{nl}เพื่อปรึกษาหาหนทางแก้ไขเรื่องนี้	사제들끼리만 일을 해결하려고 했던 저희의 잘못도 큽니다.{nl}이제부턴 마을 사람들에게 모든 사실을 고하고 천천히 논의해 볼 생각입니다.	사제 다지네
QUEST_LV_0300_20150717_000012	ตรวจสอบการทำงานของ Detector (1)	탐지기 작동 점검(1)	
QUEST_LV_0300_20150717_000013	ปีศาจ, เทพธิดาและ Petrified City (1)	마족과 여신들, 그리고 석화된 도시(1)	
QUEST_LV_0300_20150717_000014	ตรวจสอบการทำงานของ Detector (2)	탐지기 작동 점검(2)	
QUEST_LV_0300_20150717_000015	ปีศาจ, เทพธิดาและ Petrified City (2)	마족과 여신들, 그리고 석화된 도시(2)	
QUEST_LV_0300_20150717_000016	ตรวจสอบการทำงานของ Detector (3)	탐지기 작동 점검(3)	
QUEST_LV_0300_20150717_000017	ตรวจสอบการทำงานของ Detector (4)	탐지기 작동 점검(4)	
QUEST_LV_0300_20150717_000018	การนำทางดวงวิญญาณ	영혼의 인도에 대해	
QUEST_LV_0300_20150717_000019	กำลังซ่อม Detector	탐지기를 수리 하는 중	
QUEST_LV_0300_20150717_000020	กำลังซ่อม/MAKING/3/TRACK_AFTER/None	수리 중/MAKING/3/TRACK_AFTER/None	
QUEST_LV_0300_20150717_000021	ตรวจสอบการทำงานของ Detector (5)	탐지기 작동 점검(5)	
QUEST_LV_0300_20150717_000022	กำลังซ่อม/MAKING/3/TRACK_BEFORE	수리 중/MAKING/3/TRACK_BEFORE/None	
QUEST_LV_0300_20150717_000023	Notice/!/ชิ้นส่วนบางอย่างหลวม{nl}คุณต้องใช้สิ่งที่คล้ายเชือก!#5	Notice/!/부품이 잘 고정되지 않습니다{nl}끈 같은 것이 필요할 것 같습니다!#5	
QUEST_LV_0300_20150717_000024	Notice/!/คุณต้องหาเชื่อก#5	Notice/!/끈을 구해와야 합니다#5	
QUEST_LV_0300_20150717_000025	สำหรับการนำทางดวงวิญญาณ	영혼의 인도를 위해	
QUEST_LV_0300_20150717_000026	ถ้าจะพักตอนนี้ก็ได้	이제 안심해도 된다고 한다	
QUEST_LV_0300_20150717_000027	กำลังทดสอบอุปกรณ์/LOOK/2/TRACK_BEFORE/None	장치를 살펴 보는 중/LOOK/2/TRACK_BEFORE/None	
QUEST_LV_0300_20150717_000028	Notice/!/เมื่อสัมผัสกับอุปกรณ์จะรู้สึกเหมือนวิญญาณถูกแยกออก!{nl}แล้วความรู้สึกรับรู้ก็จะค่อยๆ หมดไป!	Notice/!/장치를 만지자 영혼이 빠져 나가는 기분입니다!{nl}점점 기운이 없어지고 있습니다!	
QUEST_LV_0300_20150717_000029	Notice/!/ตอนนี้ดูเหมือนคุณจะจัดการความรู้สึกได้แล้ว#5	Notice/이제 기운을 차릴 수 있을 것 같습니다#5	
QUEST_LV_0300_20150717_000030	ความปรารถนาของเขา (1)	바라는 것은 오직(1)	
QUEST_LV_0300_20150717_000031	เหตุผลที่ปรารถนาความตาย	죽음을 바라는 이유에 대해	
QUEST_LV_0300_20150717_000032	ความปรารถนาของเขา (3)	바라는 것은 오직(3)	
QUEST_LV_0300_20150717_000033	ความปรารถนาของเขา (2)	바라는 것은 오직(2)	
QUEST_LV_0300_20150717_000034	ไปหา Cleric Master	클레릭 마스터에게 가 본다고 한다	
QUEST_LV_0300_20150717_000035	ตอนนี้คุณไม่สามารถทำงานด้วยกันได้	이제 협조할 수 없다	
QUEST_LV_0300_20150717_000036	ทำลาย เครื่อง Terminal(1)	단말기 파괴(1)	
QUEST_LV_0300_20150717_000037	เรื่องของศูนย์ควบคุมกับเครื่อง Terminal	본체와 단말기에 대해	
QUEST_LV_0300_20150717_000038	หลบหลีกการโจมตีของมอนสเตอร์และทำลาย เครื่อง Terminal!#5	Notice/!/몬스터의 공격을 피해 단말기를 파괴하세요!#5	
QUEST_LV_0300_20150717_000039	ทำลาย เครื่อง Terminal(2)	단말기 파괴(2)	
QUEST_LV_0300_20150717_000040	จุดไฟexplosive powder/FIRE/2/TRACK_BEFORE/None	폭약가루를 놓고 점화하는 중/FIRE/2/TRACK_BEFORE/None	
QUEST_LV_0300_20150717_000041	Notice/เครื่อง Terminal ถูกทำลายด้วยระเบิดแล้ว!#5	Notice/단말기가 폭발하면서 사라졌습니다!#5	
QUEST_LV_0300_20150717_000042	ทำลาย เครื่อง Terminal(3)	단말기 파괴(3)	
QUEST_LV_0300_20150717_000043	แล้วพักผ่อนชั่วนิรันดร์ (1)	그리고 영원한 안식(1)	
QUEST_LV_0300_20150717_000044	หากมีคำพูดที่จะบอกเป็นครั้งสุดท้าย	마지막으로 할 말이 있다면	
QUEST_LV_0300_20150717_000045	แล้วพักผ่อนชั่วนิรันดร์ (2)	그리고 영원한 안식(2)	
QUEST_LV_0300_20150717_000046	กำลังติดตั้ง Orb/MAKING/3/TRACK_BEFORE/None	오브를 설치 하는 중/MAKING/3/TRACK_BEFORE/None	
QUEST_LV_0300_20150717_000047	แล้วพักผ่อนชั่วนิรันดร์ (3)	그리고 영원한 안식(3)	
QUEST_LV_0300_20150717_000048	ทักทาย	인사한다	
QUEST_LV_0300_20150717_000049	Notice/ดูเหมือนสิ่งที่ Svitrigaila ต้องการจะสำเร็จ#5	Notice/쉬트리가일라가 원하는 것이 이루어 진 것 같습니다#5	
QUEST_LV_0300_20150717_000050	ตรวจสอบการทำงานของ Detector	탐지기 작동 점검	
QUEST_LV_0300_20150717_000051	สนทนากับ Kupole Meile	큐폴 메일레와 대화	
QUEST_LV_0300_20150717_000052	สนทนากับ Kupole ที่ช่วยคุณจาก Petrifying Frost	석화서리로부터 구해 준 큐폴과 대화해 보세요.	
QUEST_LV_0300_20150717_000053	ทดสอบ Petrification detector	석화 탐지기들을 살펴 보기	QUEST_LV_0200_20150714_008215	石化探知機確認	석화 탐지기 확인	
QUEST_LV_0300_20150717_000054	ตรวจสอบ Detector ในบริเวณที่ยังไม่ได้ไปเพื่อช่วยให้ Kupole Meile สามารถนำทางดวงวิญญาณไปได้อย่างปลอดภัยจากPetrifying Frost	큐폴 메일레가 석화서리로부터 안전하게 영혼들을 인도할 수 있도록 이 지역의, 아직 가보지 않은 곳의 탐지기를 모두 점검 하세요.	
QUEST_LV_0300_20150717_000055	กลับไปหา Kupole Meile	큐폴 메일레에게 돌아가기	
QUEST_LV_0300_20150717_000056	คุณตรวจสอบ  Detector ทั้ง 4 อันแล้วยกเว้นที่อยู่ตรงเข้า ตอนนี้กลับไปหา Kupole Meile	입구 쪽에 있던 탐지기를 제외한 4개의 탐지기를 모두 조사했습니다. 이제 큐폴 메일레에게 돌아가서 상황을 전해 주세요.	
QUEST_LV_0300_20150717_000057	มีบางสิ่งที่คุณต้องบอกเพื่อให้  Detector ที่พังกลับมาใช้งานได้อีกครั้ง สนทนากับ Kupole Meile อีกครั้ง	고장난 탐지기를 다시 작동 시키기 위해 전할 말이 있습니다. 큐폴 메일레와 다시 대화하세요.	
QUEST_LV_0300_20150717_000058	พบกับ Retia องครักษ์แห่งกองทัพจักรวรรดิ	왕국군 레티아 만나기	
QUEST_LV_0300_20150717_000059	Kupole บอกว่ากองทัพจักรวรรดิติดตั้ง Petrification detectorเอาไว้ ไปพบกับ Retia องครักษ์แห่งกองทัพจักรวรรดิที่จัตุรัส Verkti	석화탐지기를 설치 한 것은 왕국군이라는 큐폴의 말에 따라 베르크티 광장의 왕국군 장교 레티아를 찾아가 봅시다.	
QUEST_LV_0300_20150717_000060	พูดคุยกับRetia องครักษ์แห่งกองทัพจักรวรรดิเกี่ยวกับ Detector ที่ไม่ทำงานที่อยู่ Coastal Fortress	연안요새의 작동하지 않는 석화탐지기에 대해 왕국군 레티아와 대화를 더 나눠보세요.	
QUEST_LV_0300_20150717_000061	หาชิ้นส่วนของ Petrification detector	석화 탐지기 부품 구하기	
QUEST_LV_0300_20150717_000062	Retia องครักษ์แห่งกองทัพจักรวรรดิบอกให้มองหาทหารที่ประจำอยู่ Coastal Fortress ถ้ามีอะไรเกิดขึ้นกับพวกเขาคุณก็อาจจะได้รับชิ้นส่วนอย่างจากศพพวกเขา และลองพยายามล่าพวกมอนสเตอร์ที่อยู่บริเวณนั้นด้วย	왕국군 레티아의 말에 따라, 연안요새로 파견 나간 병사들을 찾아 봅시다. 혹시라도 그들이 사고를 당했다면 시신에서라도 부품을 얻어야 할 것입니다. 또는 그 주변의 몬스터들도 사냥 해 봅시다.	
QUEST_LV_0300_20150717_000063	พบกับ Kupole Meile	큐폴 메일레 만나기	
QUEST_LV_0300_20150717_000064	โชคไม่ดีที่ทหารจากกองทัพจักรวรรดิไม่มีใครรอดชีวิตแต่คุณก็สามารถรวบรวมชิ้นส่วนมาได้ ตอนนี้ไปพบกับ Kupole เพื่อบอกเรื่องราวที่เกิดขึ้นและซ่อม Petrification detector	왕국군 병사들은 안타깝게도 변을 당했지만 부품들은 무사히 모두 구했습니다. 이제 석화탐지기를 수리하러 가기 전에 이 사실을 큐폴에게 알려 주세요.	
QUEST_LV_0300_20150717_000065	ก่อนที่คุณจะไปซ่อม Petrification detector ลองสนทนากับ Kupole Meile  เกี่ยวกับสถานการณ์นี้	석화 탐지기를 수리하러 가기 전에, 이런 상황에 대해 큐폴 메일레와 대화 해 봅시다.	
QUEST_LV_0300_20150717_000066	ซ่อม Petrification detector	석화 탐지기 수리	
QUEST_LV_0300_20150717_000067	ซ่อม Petrification detector ครั้งแรกที่ยังไม่ทำงาน	작동하지 않았던 첫 번째 석화 탐지기를 수리 하세요.	
QUEST_LV_0300_20150717_000068	คุณพยายามที่จะซ่อม Petrification detectorและทำลายมอนสเตอร์ที่มาก่อกวนทั้งหมดแล้ว ตอนนี้คุณน่าจะสามารถซ่อม  Petrification detector ได้อย่างสบายใจแล้ว	석화 탐지기를 수리 하려고 하자 달려 든 몬스터들을 모두 물리쳤습니다. 이제 안심하고 석화 탐지기를 수리 할 수 있을 것 같습니다.	
QUEST_LV_0300_20150717_000069	ซ่อม Petrification detector ครั้งที่ 3	세 번째 석화 탐지기 수리	
QUEST_LV_0300_20150717_000070	ลองซ่อม Petrification detector ครั้งที่ 3	이제 세 번째 석화 탐지기를 수리하러 가세요.	
QUEST_LV_0300_20150717_000071	หา Fastening String	고정할 끈 구하기	
QUEST_LV_0300_20150717_000072	ดูเหมือนคุณจะต้องเการเชือกที่สามารถจะมัดชิ้นส่วน Detector ลองหาดูจาการล่ามอนสเตอร์	탐지기의 부품을 달고 잘 고정 시켜 줄 노끈이 필요 할 것 같습니다. 몬스터들로부터 구해 봅시다.	
QUEST_LV_0300_20150717_000073	รวบรวม Fastening String มาได้ทั้งหมดแล้ว ตอนนี้ลองซ่อม Petrification detector ครั้งที่ 3 ดู	고정 할 끈을 모두 구했습니다. 이제 세 번째 석화 탐지기를  수리 하세요.	
QUEST_LV_0300_20150717_000074	กำจัดมอนสเตอร์และรวบรวม %s	몬스터를 사냥하여 %s 구하기	QUEST_LV_0200_20150317_002484	モンスターから%s収集	몬스터에게서 %s 수집	
QUEST_LV_0300_20150717_000075	กำจัดมอนสเตอร์และรวบรวม string	몬스터를 사냥하여 노끈 구하기	
QUEST_LV_0300_20150717_000076	ไปบอก Kupole Meile ว่าคุณซ่อม Petrification detectors ทั้งหมดแล้ว	석화 탐지기를 모두 수리했습니다. 이 사실을 큐폴 메일레에게 알려 주세요.	
QUEST_LV_0300_20150717_000077	ตรวจสอบอุปกรณ์ต้องสงสัย	수상한 장치 살펴 보기	
