ITEM_20180327_000001	无 helmet	없음_helmet	
ITEM_20180327_000002	角斗士头盔	무르밀로 헬멧	
ITEM_20180327_000003	剑斗士的头盔没有损伤只有两种可能。若不是第一次使用的新头盔，在经过无数次试验后依然毫无损伤的话，那必是非常伟大的道具。	검투사의 투구가 흠이 없다는 것은 둘 중 하나입니다. 새 투구를 처음 착용한 것이거나 아니면 수많은 시험을 거쳤음에도 흠이 나지 않는 엄청난 물건이란 뜻입니다.	
ITEM_20180327_000004	瘟疫医生头盔	플레이그닥터 헬멧	
ITEM_20180327_000005	很多人认为瘟疫医生的装备中一定有满满的效果卓越的药。虽然并没错，但满满的药物常被认为是祭司的权能，这也是有才能的治疗师与瘟疫医生重要的差异。	플레이그닥터의 장비 안에는 효능 좋은 약이 들어차 있을 것이라 생각하는 사람이 많습니다. 틀린 생각은 아니지만 그 가득찬 약은 사제의 권능으로 뭉쳐져 있습니다. 이것이 유능한 치유사와 플레이그 닥터의 중요한 차이점입니다.	
ITEM_20180327_000006	心动结婚礼服头纱	두근두근 웨딩 면사포 코스튬	
ITEM_20180327_000007	头套[女]	헬멧[여성]	
ITEM_20180327_000008	结婚典礼时新娘所配戴的头纱。	결혼식 신부가 착용하는 코스튬 입니다.	
ITEM_20180327_000009	鱼缸头盔套装	어항 헬멧 코스튬	
ITEM_20180327_000010	头盔[共用]	헬멧[공용]	
ITEM_20180327_000011	可以近距离看水中鱼儿的头盔。	좀 더 물고기를 가까이서 볼 수 있는 어항 코스튬 입니다.	
ITEM_20180327_000012	潜水头盔套装	다이빙 헬멧 코스튬	
ITEM_20180327_000013	最适合潜水的套装。	잠수에 최적화된 코스튬 입니다.	
ITEM_20180327_000014	龙骑士头盔	드라군 헬멧	
ITEM_20180327_000015	杰克南瓜灯头盔	잭오랜턴 헬멧	
ITEM_20180327_000016	戴上南瓜灯恶魔不再来。	호박의 속을 파내고 악마의 얼굴 모양으로 눈, 코, 입을 도려낸 투구입니다.	
ITEM_20180327_000017	鲁道夫头盔套装	루돌프 헬멧 코스튬	
ITEM_20180327_000018	鲁道夫的红鼻子是希望的象徵。	루돌프 빨간코는 희망의 상징입니다.	
ITEM_20180327_000019	无_armband	없음_armband	
ITEM_20180327_000020	赤红臂环	붉은 암밴드	
ITEM_20180327_000021	臂环	암밴드	
ITEM_20180327_000022	如果背著这个，对于区分我军会有帮助。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다.	
ITEM_20180327_000023	结绳臂环	매듭진 암밴드	
ITEM_20180327_000024	如果绑太紧，血有可能不流通。	너무 세게 묶는다면 피가 통하지 않을 수도 있습니다.	
ITEM_20180327_000025	长臂环	긴 암밴드	
ITEM_20180327_000026	长度很长，在危急状况之下，也可以当作绷带来使用。	길이가 길어 위급상황에서는 붕대 대용으로도 사용가능합니다.	
ITEM_20180327_000027	羽毛臂环	깃털 장식 암밴드	
ITEM_20180327_000028	装饰有鸟的羽毛，耐久度不好，需要用心管理。	새의 깃털로 장식되어 있습니다. 내구성이 좋지 못하여 관리에 신경을 써주어야 합니다.	
ITEM_20180327_000029	流苏臂环	술달린 암밴드	
ITEM_20180327_000030	特别的提议之下使用，但也会为了耍师而装备。	특별한 제의에 사용되지만 멋을 위해 착용하고 다니기도 합니다.	
ITEM_20180327_000031	太初救援者臂环	태초의 구원자 암밴드	
ITEM_20180327_000032	给予参与第1次CBT的玩家，带有感谢之意的道具。	1차 CBT에 참여하신 분들께 드리는 감사의 뜻을 담은 물건입니다.	
ITEM_20180327_000033	首领臂环	치프 암밴드	
ITEM_20180327_000034	如果背著这个，对于区分我军会有帮助，另一方面对敌人来说也将我军塑造成主要人物。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되기도 합니다. 	
ITEM_20180327_000035	银色臂环	실버 암밴드	
ITEM_20180327_000036	如果背著这个，对于区分我军会有帮助，另一方面对敌人来说也将我军塑造成主要人物，依照情况有时能炫耀，有时也可能招来危机。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되며, 상황에 따라 자랑할 기회가 되거나 위기를 불러올 수도 있습니다.	
ITEM_20180327_000037	鑽石臂环	다이아 암밴드	
ITEM_20180327_000038	如果背著这个，对于区分我军会有帮助。偶尔在人们面前故意显露缺点也不错。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 가끔은 사람들 앞에서 일부러 유리에 흠집을 내는 모습을 보여주어도 좋습니다.	
ITEM_20180327_000039	流苏臂环	술 장식 암밴드	
ITEM_20180327_000040	如果背著这个，对于区分我军会有帮助。听说也有人在流苏上挂著纪念品，显现自己的个性。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 술장식에 기념품을 달아 자신만의 개성을 나타내는 사람도 있다고 합니다. 	
ITEM_20180327_000041	萨满臂环	샤먼 암밴드	
ITEM_20180327_000042	如果背著这个，对于区分我军会有帮助。与某些人的误解不同，这手镯的模样与圣者大师没有任何关係。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 몇몇 사람들의 오해와는 달리 이 밴드의 모양새는 사두 마스터와는 아무런 관련이 없습니다.  	
ITEM_20180327_000043	东亚臂环	오리엔트 암밴드	
ITEM_20180327_000044	如果背著这个，对于区分我军会有帮助。 有一说是王国的海军力较弱的时代，有名的海贼团使用的装饰。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 왕국의 해군력이 약하던 시절 유명한 해적단이 사용하던 장식이라는 설이 있습니다.	
ITEM_20180327_000045	黄金臂环	골든 암밴드	
ITEM_20180327_000046	这是送给参与季节限定伺服器的玩家，带有感谢之意的小纪念品臂环。	시즌 한정 서버에 참여하신 분들께 감사한 마음으로 드리는 작은 기념품 암밴드입니다.	
ITEM_20180327_000047	叶纹臂环	잎사귀 무늬 암밴드	
ITEM_20180327_000048	如果背著这个，对于区分我军会有帮助。 神树之日后，就算是已经对树或草厌烦的人们也一定会好好戴著这腕饰。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 신수의 날 이후 나무와 풀이라면 지겹다는 사람들도 이 밴드는 곧잘 차고 다닙니다.	
ITEM_20180327_000049	蜻蜓臂环	잠자리 암밴드	
ITEM_20180327_000050	如果背著这个，对于区分我军会有帮助。 这绝对不是把真的蜻蜓做成标本贴上去的。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 절대로 실제 잠자리를 박제하여 붙인 것은 아닙니다. 	
ITEM_20180327_000051	有感臂环	느낌있는 암밴드	
ITEM_20180327_000052	如果背著这个，对于区分我军会有帮助，因为知道我军的感觉..	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 아군 느낌 아니까..	
ITEM_20180327_000053	蝴蝶结臂环	리본 암밴드	
ITEM_20180327_000054	如果背著这个，对于区分我军会有帮助。戴著才不会自己送给谁当礼物了。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 차고 있다고 자신이 누군가에게 선물이 되지는 않습니다.	
ITEM_20180327_000055	按讚腕饰	엄지척 암밴드	
ITEM_20180327_000056	如果背著这个，对于区分我军会有帮助。 而且会感觉受到很多人的支持。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 또한 어쩐지 많은 사람의 지지를 받는 기분이 듭니다. 	
ITEM_20180327_000057	第1名臂环	길드 배틀 1위 암밴드	
ITEM_20180327_000058	送给得到第1名的臂环。	길드 배틀에서 1위를 달성한 길드원에게 주어지는 암밴드입니다.	
ITEM_20180327_000059	第2名臂环	길드 배틀 2위 암밴드	
ITEM_20180327_000060	送给得到第2名的臂环。	길드 배틀에서 2위를 달성한 길드원에게 주어지는 암밴드입니다.	
ITEM_20180327_000061	第3名臂环	길드 배틀 3위 암밴드	
ITEM_20180327_000062	送给得到第3名的臂环。	길드 배틀에서 3위를 달성한 길드원에게 주어지는 암밴드입니다.	
ITEM_20180327_000063	先驱者臂环	선도 암밴드	
ITEM_20180327_000064	先驱者所穿戴的臂环。	선도부가 착용하는 암밴드입니다.	
ITEM_20180327_000065	骷髅臂环	백골 암밴드	
ITEM_20180327_000066	显示此人为不良阶级的臂环。	불량 서클을 표시하는 암밴드입니다.	
ITEM_20180327_000067	巴尼兹臂环	바니즈 암밴드	
ITEM_20180327_000068	上面有可爱兔子装饰的臂环。	귀여운 토끼가 인상적인 암밴드입니다.	
ITEM_20180327_000069	纯白臂环	순백의 암밴드	
ITEM_20180327_000070	上面有白色爱心装饰的臂环	흰색 하트가 인상적인 암밴드입니다.	
ITEM_20180327_000071	地球的幸福臂环	지구의 행복 암밴드	
ITEM_20180327_000072	祈祷地球幸福的救援者所配戴的臂环。	지구가 행복해지기를 기원하는 구원자가 착용하는 암밴드입니다.	
ITEM_20180327_000073	迪欧尼斯臂环	디오니스 암밴드	
ITEM_20180327_000074	模仿瓦卡丽涅疼爱的迪欧尼斯制成的臂环。	바카리네가 아끼는 디오니스를 모방한 암밴드입니다.	
ITEM_20180327_000075	无_hair	없음_hair	
ITEM_20180327_000076	型男	테리우스	
ITEM_20180327_000077	髮型[男性]	헤어[남성]	
ITEM_20180327_000078	王国的名门继承者第一次弄了这个髮型后，在上流社会有许多人跟著也弄了这个髮型，但是没有外貌的衬托很难散发出完美的魅力。	왕국의 유서깊은 가문의 계승자가 처음 이런 머리 모양을 한 후 상류층 사이에서 많은 이들이 이를 따라했습니다. 다만 외모가 받쳐주지 않는다면 완벽한 매력을 발산하기 약간 어렵습니다.	
ITEM_20180327_000079	波浪捲髮	댄디 웨이브컬	
ITEM_20180327_000080	大约是千年祭时复原的髮型，许多人都模仿并流传下来，但是因为制作和维持都很难，所以主要是贵族在使用。	천년제를 즈음하여 복원된 머리 모양으로 많은 사람들이 흉내를 내려 했으나 만들기도 유지하기도 어렵기 때문에 귀족들이 주로 하였습니다.	
ITEM_20180327_000081	短髮	숏 컷	
