QUEST_20180327_000001	请选择需要修正任务的玩家。	퀘스트 수정이 필요한 유저를 선택해주세요.	GM
QUEST_20180327_000002	瓦卡丽涅女神像	여신 바카리네의 상	
QUEST_20180327_000003	请选择地区。	지역을 선택해주세요.	여신 바카리네의 상
QUEST_20180327_000004	选择	선택	
QUEST_20180327_000005	请选择道具。	아이템을 선택해주세요.	
QUEST_20180327_000006	神諭師大師	오라클 마스터	
QUEST_20180327_000007	你对什麽事情好奇呢？	어떤 것이 궁금하신가요?	오라클 마스터
QUEST_20180327_000008	要告知您的情报还尚未收集完成。	알려드릴 정보가 모이지 않았습니다.	오라클 마스터
QUEST_20180327_000009	克里斯蒂娜	크리스티나	
QUEST_20180327_000010	请输入宠物的名字。	컴패니언 이름을 입력해주세요.	크리스티나
QUEST_20180327_000011	图拉斯	토라스	
QUEST_20180327_000012	帮宠物取名吧。	컴패니언 이름을 정해줘.	토라스
QUEST_20180327_000013	NPC Hide/UnHide 请选择需要修正的玩家。	NPC Hide/UnHide 수정이 필요한 유저를 선택해주세요.	GM
QUEST_20180327_000014	选择群组	그룹 선택	
QUEST_20180327_000015	请选择快速开始群组。	치트 스타트 그룹을 선택하세요.	그룹 선택
QUEST_20180327_000016	选择地区	존 선택	Basic
QUEST_20180327_000017	请选择要开始的地区。	시작할 존을 선택하세요.	존 선택
QUEST_20180327_000018	转职选择	전직 선택	
QUEST_20180327_000019	请选择要进行的职业。	원하시는 직업을 선택하세요.	전직 선택
QUEST_20180327_000020	邪灵祭司大师	보코르 마스터	
QUEST_20180327_000021	你想知道这石板是什麽东西吗？{nl}想知道的话，让你透过幻影观看石板制作者的意志。	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.	보코르 마스터
QUEST_20180327_000022	女神拉伊玛	여신 라이마	
QUEST_20180327_000023	当你看到启示的时候，应该已经过了很长一段的岁月。{nl}我是命运和预知的女神拉伊玛。{nl}	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}	수정광산의 계시
QUEST_20180327_000024	600年前，我在制作这个启示的时候，看见了许多悲伤与死亡。{nl}你看到这个启示代表我所预知的事情成真了。{nl}	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}	수정광산의 계시
QUEST_20180327_000025	第一次的灾难已经因魔族而起，女神们都销声匿迹了。{nl}虽然我事前已经知道这一切，并试图想阻止灾难发生，但是我的力量实在是太微弱了。{nl}	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}	수정광산의 계시
QUEST_20180327_000026	我为了找到解答，我在漫长的预知梦中徘徊著。{nl}而这个梦的尽头就是你… 救世者。{nl}	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}	여신 라이마
QUEST_20180327_000027	但是魔族不可能放过拥有预知能力的我。{nl}所以在你出现之前，我必须要隐藏自己。{nl}	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}	수정광산의 계시
QUEST_20180327_000028	而且为了保护你.. {nl}只能把你藏在数量庞大的启示者之中了。 {nl}	그리고 당신을 지키기 위해.. {nl}수 많은 계시자 속에 당신을 숨길 수밖에 없었습니다.{nl}	여신 라이마
QUEST_20180327_000029	我决心将自己分裂并沉浸在数个启示裡。{nl}我在王国四处流浪制造启示并将启示隐藏起来，这项工作持续了近千年。	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}	수정광산의 계시
QUEST_20180327_000030	救世者啊！{nl}如果要找回我完整的模样并阻止魔族的阴谋诡计，{nl}需要找到藏在时间轴裡的所有启示。	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.	여신 라이마
QUEST_20180327_000031	对你来说这个被抹去的神圣使命的重量会让你感到压力。{nl}也许你将会经历无数的试炼和苦难。{nl}	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}	수정광산의 계시
QUEST_20180327_000032	但是只有你才能拯救我和这个世界。{nl}	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}	여신 라이마
QUEST_20180327_000033	下个启示已交给初代圣殿十字军了。{nl}他会在至高花园等待著你。	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.	여신 라이마
QUEST_20180327_000034	真惊人！{nl}这个明明就是数百年前制作的东西…{nl}好像在望著现在的你说话的样子。{nl}	놀랍군요.{nl}이건 수 백년 전에 만들어진 것이 분명한데..{nl}지금의 당신을 바라보며 말하는 것 같습니다.{nl}	보코르 마스터
QUEST_20180327_000035	但是完全感受不到邪恶的力量或意志，{nl}这样的话，这个启示真的是拉伊玛女神的… 原来如此。{nl}	하지만 사악한 힘이나 의지는 전혀 느껴지지 않습니다.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그렇군요.{nl}	보코르 마스터
QUEST_20180327_000036	更惊人的是叫做救世者的存在。{nl}	더 놀라운 건 구원자라는 존재입니다.{nl}	보코르 마스터
QUEST_20180327_000037	这麽多启示者中，能拯救这世界和女神的存在…{nl}分明你就是被称为救世者的存在。{nl}	그 많은 계시자 중에서 이 세계와 여신을 구할 수 있는 존재..{nl}바로 당신이 구원자라고 계시는 분명히 말하고 있습니다.{nl}	보코르 마스터
QUEST_20180327_000038	但是最好避免全世界都知道，{nl}如果你不想要所有魔族都为了找你而四处徘徊的话。{nl}	하지만 세상에 알리는 것은 피하는 게 좋겠습니다.{nl}모든 마족이 당신을 찾아 헤메길 원하지 않는다면요.{nl}	보코르 마스터
QUEST_20180327_000039	有关救世者的事情，我想要提的事情并不是启示所希望的。{nl}来，快回到乌斯卡身边。{nl}	구원자에 대해 제가 더 이상 언급하는 것을 계시는 원치 않는 것 같군요.{nl}자, 어서 우스카님께 돌아가세요.{nl}	보코르 마스터
QUEST_20180327_000040	如果是那位的话，应该会跟你说到底要前往哪个地方。{nl}愿女神的祝福未来与既是启示者又是救世者的你同在…	그분이라면 당신이 어디로 가야 할지 알려줄 겁니다.{nl}계시자이자 구원자인 당신의 앞날에 여신의 축복이 깃들기를..	보코르 마스터
QUEST_20180327_000041	请选择想要的智能重生。	원하는 스마트젠을 선택하세요.	선택
QUEST_20180327_000042	威廉	윌리엄	
QUEST_20180327_000043	比起被怪物一口吃掉，不如乾脆骑乘缆车还比较好。	몬스터 한복판을 헤쳐가느니 차라리 케이블카를 이용하는 게 훨씬 좋지요.	윌리엄
QUEST_20180327_000044	坎伯莱	캔버그	
QUEST_20180327_000045	骑乘缆车可以前往另一边。	케이블카를 이용하면 반대편으로 한 번에 갈 수 있습니다.	캔버그
QUEST_20180327_000046	精髓变换器	정수 변환기	
QUEST_20180327_000047	使用火焰结晶	화염 결정 사용	정수 변환기
QUEST_20180327_000048	选择要召唤的我军	소환할 아군 선택	정수 변환기
QUEST_20180327_000049	选择要移动得我军位置	이동할 아군 위치 선택	정수 변환기
QUEST_20180327_000050	地区移动	지역이동	
QUEST_20180327_000051	流浪商人	방랑 상인	
QUEST_20180327_000052	我这个可怜人，如果要自我介绍，我不过是随风飞舞到处流浪的蒲公英孢子。{nl}能够这样相遇也是一种特别的缘分，要不要看看好东西啊？	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?	방랑 상인
QUEST_20180327_000053	欢迎光临。{nl}看来你在找志同道合的朋友。{nl}旅行时很难找到比这些傢伙更好的旅伴了。	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.	크리스티나
QUEST_20180327_000054	宠物可以在你的战斗中帮忙，{nl}也可以让宠物在旁边看著你战斗或是进行特定训练。{nl}	컴패니언은 당신의 전투를 도와줄 수 있어요.{nl}컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있지요.{nl}	크리스티나
QUEST_20180327_000055	如何？ 牠们这样不就是你帅气的同伴吗？{nl}但是只有特定职业才能骑乘宠物，这点请务必留意。{nl}	어때요. 이만 하면 당신의 멋진 동반자가 아닐까요?{nl}하지만 컴패니언을 타는 건 특정 클래스만 가능하니 이 점은 유의바랄게요.{nl}	크리스티나
QUEST_20180327_000056	活动奖励支援兵	이벤트 보상 지원병	
QUEST_20180327_000057	感谢你参与防御沃比洛斯的袭击。	워퓰리스의 습격 방어에 참여해주셔서 감사드립니다.	이벤트 보상 지원병
QUEST_20180327_000058	没什麽可帮的了。	더 지원해 드릴 게 없습니다.	이벤트 보상 지원병
QUEST_20180327_000059	活动小帮手	이벤트 도우미	
QUEST_20180327_000060	感谢你参加活动。{nl}募集时间结束后请在我周围跟著做动作。{nl}用快捷键	이벤트에 참여해주셔서 감사드립니다.{nl}모집시간이 끝난 후 제 주변에서 제스쳐를 따라해주세요.{nl}단축키 	이벤트 도우미
QUEST_20180327_000061	的指令打开视窗点击动作即可。	로 매크로 창을 열어서 제스쳐를 클릭하시면 사용하실 수 있습니다.	이벤트 도우미
QUEST_20180327_000062	活动进行中无法参加。{nl}请参加下次活动。	이벤트 진행중에는 참가 하실 수 없습니다.{nl}다음 이벤트에 참여해주세요.	이벤트 도우미
QUEST_20180327_000063	传达员兰达	접수원 람다	
QUEST_20180327_000064	今天没有能够进行的委託。	오늘은 진행할 수 있는 의뢰가 없네요.	접수원 람다
QUEST_20180327_000065	只有对你来说会很吃力的委託，{nl}下次再来找吧。	당신께 벅차보이는 의뢰만 있네요.{nl}다음에 다시 찾아주세요.	접수원 람다
QUEST_20180327_000066	刚好有好的委託进来。	마침 좋은 의뢰가 들어와 있어요.	접수원 람다
QUEST_20180327_000067	传达员利安	접수원 리암	
QUEST_20180327_000068	欢迎光临。{nl}寻找怎样的委託呢？	어서 오세요.{nl}어떤 의뢰를 찾으시나요?	접수원 리암
QUEST_20180327_000069	嗯… 一个人一定很辛苦。{nl}和可以相信的同伴一起来吧。	흠.. 혼자선 힘들 텐데요.{nl}믿을 수 있는 동료와 함께 와 주세요.	접수원 리암
QUEST_20180327_000070	马上前往吗？	바로 가실건가요?	접수원 람다
