QUEST_JOBSTEP_20150317_000001	邪灵祭司！你选择了困难的路。{nl}参考冒险日志的制作法，制造独特的人偶吧！	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.	보코르 마스터
QUEST_JOBSTEP_20150317_000002	如果自己不去求就无法获得。{nl}人偶的制造法请参考你的冒险日志。	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.	보코르 마스터
QUEST_JOBSTEP_20150317_000003	恭喜，新的邪灵祭司诞生了。{nl}过去我选择邪灵祭司的路时，也是先从制造自己的人偶开始。{nl}	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}	
QUEST_JOBSTEP_20150317_000004	轻装步兵大师	펠타스타 마스터	
QUEST_JOBSTEP_20150317_000005	你如果真的要接受我的教导，必须要证明你是否有资格。{nl}给你一项任务。请消灭佔领水晶矿山1层的布贝们。{nl}{nl}	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}	
QUEST_JOBSTEP_20150317_000006	这点程度都做不到，怎麽肩负轻装步兵之名呢？	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?	펠타스타 마스터
QUEST_JOBSTEP_20150317_000007	很好。{nl}希望你的成长能够守护世界。	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.	펠타스타 마스터
QUEST_JOBSTEP_20150317_000008	高地战士大师	하이랜더 마스터	
QUEST_JOBSTEP_20150317_000009	我真的很感谢你愿意继承我的剑法，但我怀疑你是否能顺利跟上。{nl}我想让你去对付占领水晶矿山1层的布贝藉此考验你。	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.	
QUEST_JOBSTEP_20150317_000010	动作快。{nl}虽然是入门任务，但那些布贝对矿山村庄造成威胁是事实。	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.	하이랜더 마스터
QUEST_JOBSTEP_20150317_000011	结果很好。我允许你加入高地战士。{nl}今后也要努力修练。	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.	하이랜더 마스터
QUEST_JOBSTEP_20150317_000012	烈焰法师大师	파이로맨서 마스터	
QUEST_JOBSTEP_20150317_000013	你想要跟我学习魔法的那份热情我懂，但是我是不会随便教人的。{nl}我要视你能辅助我的研究到什麽程度来决定。	저에게 마법을 배우겠다는 열의는 알겠습니다만, 아무에게나 가르쳐 드릴 순 없습니다.{nl}제 연구를 얼마나 잘 보조해 주시는지에 따라서 결정하겠어요.	
QUEST_JOBSTEP_20150317_000014	辛苦了。託你的福我能进入下一个研究阶段了。{nl}我会依约定教你烈焰法师的魔法。	수고하셨어요. 덕분에 다음 연구단계로 넘어갈 수 있겠네요.{nl}약속대로 파이로맨서의 마법을 가르쳐 드리지요.	
QUEST_JOBSTEP_20150317_000015	你来得正好。你该为我做的就是消灭我召唤出来的恶灵。{nl}我会记录过程中释出的特殊波长。	잘 오셨어요. 당신이 해 주실 일은 제가 소환한 악령을 처치해 주시면 됩니다.{nl}그 과정에서 뿜어져 나오는 특별한 파장을 기록하겠어요.	
QUEST_JOBSTEP_20150317_000016	我正在研究物质的第4种状态。{nl}如果没有能控制灵魂的邪灵祭司大师的协助，我是绝对办不到的。	전 물질의 제4번째 상태에 대해 연구중입니다.{nl}영혼을 다루는 보코르 마스터님의 협조가 없으면 절대로 불가능한 일이지요.	
QUEST_JOBSTEP_20150317_000017	很好，非常厉害。{nl}请告诉烈焰法师大师你已经收集到所有需要的资料了。	네. 아주 훌륭하군요.{nl}파이로맨서 마스터께 필요한 자료는 전부 모였다고 전해 드리세요.	보코르 마스터
QUEST_JOBSTEP_20150317_000018	很好。{nl}我正在和邪灵祭司大师一起进行那项研究，请你过去找他，他会把该做的事告诉你。	좋습니다. {nl}그 연구는 보코르 마스터님과 함께 진행중이니 그분께 가면 할 일을 일러주실 겁니다.	
QUEST_JOBSTEP_20150317_000019	寒冰法师大师	크리오맨서 마스터	
QUEST_JOBSTEP_20150317_000020	想跟我学魔法吗？{nl}我当然会教你。但你必须帮我处理一件事。	제게 크리오맨서의 마법을 배우고 싶으시다고요.{nl}물론 가르쳐 드리지요. 한 가지 일만 잘 처리해 주신다면요.	
QUEST_JOBSTEP_20150317_000021	烈焰法师大师目前不在。{nl}唉，这件事非常简单。	파이로맨서 마스터는 현재 부재중이십니다.{nl}뭐, 아주 쉬운 일입니다.	크리오맨서 마스터
QUEST_JOBSTEP_20150317_000022	请别内疚。您做得非常好。{nl}从现在起我会助您一臂之力，您不必太过担心。	죄책감 따윈 신경 쓰지 마세요. 아주 잘해주셨습니다.{nl}이제부턴 제가 당신의 뒤를 봐 드릴 테니 너무 걱정하지 않으셔도 됩니다.	크리오맨서 마스터
QUEST_JOBSTEP_20150317_000023	请偷偷潜入烈焰法师的房中，把装在房中箱子裡的东西带来给我。{nl}此外的东西请你自己看著办。	파이로맨서의 방에 몰래 잠입해 그곳에 있는 상자를 여는 것입니다.{nl}그 안에 있는 것은.. 죽여버리는 게 좋겠네요.	
QUEST_JOBSTEP_20150317_000024	这种程度的话，已足够了。{nl}我的魔法会比你想像中的难，所以你要努力跟著我学习喔。	이 정도면 충분하군.{nl}내 마법은 어려우니까 열심히 따라와야 할 거야.	
