QUEST_LV_0200_20180327_000001	皮尔力巴斯直属队员	필리파스 직속 부대원	
QUEST_LV_0200_20180327_000002	怪物的攻物越来越猛烈了。{nl}虽然已经做好了觉悟，但还是很害怕。	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000003	明天就会倒下去的身体，今天献上生命也没有关係。	내일 쓰러질 몸이라면 오늘 목숨을 바쳐도 상관없습니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000004	指挥官 巴塞宁	지휘관 바세닌	
QUEST_LV_0200_20180327_000005	不论如何都要解决劣质的补给和兵力。{nl}果然还是依序突破卡汀森林每个地点比较好吗？	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.	지휘관 바세닌
QUEST_LV_0200_20180327_000006	虽然大家都很辛苦，但直到完全找回卡汀森林的那一刻为止都不能放弃。	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.	지휘관 바세닌
QUEST_LV_0200_20180327_000007	上级长官 皮尔力巴斯	선임장교 필리파스	
QUEST_LV_0200_20180327_000008	我想要和平的世界。{nl}为了这个目标我要更奋发图强才行。	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.	선임장교 필리파스
QUEST_LV_0200_20180327_000009	为了找回被怪物抢走的森林我什麽都能做。{nl}就算要牺牲性命也在所不惜。	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000010	我们前方的部队已变成皮尔力巴斯大人的专属部队了。{nl}只要是皮尔力巴斯大人下达的命令，就算是火坑也会跳。	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000011	无论何时都是抱持著今天就是最后一天的觉悟活著。{nl}口袋裡随身携带的遗书就是我们的觉悟。	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000012	军官皮尔利克斯	장교 필릭스	
QUEST_LV_0200_20180327_000013	虽然相较之下，卡汀森林入口算是安全的，不过要进入森林深处，我劝你还是打消念头吧。	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 웬만하면 포기하시오.	장교 필릭스
QUEST_LV_0200_20180327_000014	脆弱的猫头鹰雕像	약한 부엉이 조각상	
QUEST_LV_0200_20180327_000015	我的力量越来越弱了。{nl}还有很多灵魂要引导呢…	제 힘은 점점 약해지고 있어요.{nl}아직도 인도해야 할 영혼이 많은데..	약한 부엉이 조각상
QUEST_LV_0200_20180327_000016	恐惧的猫头鹰雕像	두려운 부엉이 조각상	
QUEST_LV_0200_20180327_000017	森林的神圣力量正在减弱。{nl}现在该怎麽办才好…	숲의 신성한 힘이 약해지고 있어요.{nl}이젠 정말 어찌 되려나..	두려운 부엉이 조각상
QUEST_LV_0200_20180327_000018	好可怕。{nl}女神在的时候根本不会发生这种事…	너무 무서워요.{nl}여신께서 계실 땐 이런 일은 없었는데..	두려운 부엉이 조각상
QUEST_LV_0200_20180327_000019	老实的猫头鹰队长	성실한 대장 부엉이	
QUEST_LV_0200_20180327_000020	这片森林是会把猫头鹰抓来吃的可怕森林。{nl}没有比勇气更实在的东西了。	이 숲은 부엉이를 잡아 먹는 무시무시한 숲입니다.{nl}용기만큼 절실한 게 없지요.	성실한 대장 부엉이
QUEST_LV_0200_20180327_000021	从巨大树木长出来的那天起，这片森林就变得很恐怖。{nl}特别是树根水晶连看著都让人毛骨悚然。	거대한 나무가 솟아오르고 나서부터 이 숲은 끔찍하게 변했습니다.{nl}특히 나무뿌리 수정은 바라보고만 있어도 겁이 납니다.	성실한 대장 부엉이
QUEST_LV_0200_20180327_000022	意志的猫头鹰雕像	의지의 부엉이 조각상	
QUEST_LV_0200_20180327_000023	好像又有谁被吃掉了。{nl}又少了一个同伴的气息。	누군가 또 잡아먹혔나봐요.{nl}제 동료의 기운 하나가 느껴지질 않네요.	의지의 부엉이 조각상
QUEST_LV_0200_20180327_000024	女神赐给我的神圣力已经没剩多少了。{nl}被摧毁后会变成什麽样子呢？{nl}	여신께서 주신 신성력이 거의 남아있지 않아요.{nl}부서진 다음엔 어떻게 되는 걸까요?{nl}	의지의 부엉이 조각상
QUEST_LV_0200_20180327_000025	这是队长大人分给我们的力量。{nl}现在不用害怕了。	대장님께서 나누어 주신 힘이에요.{nl}이젠 두려워하지 않을 겁니다.	의지의 부엉이 조각상
QUEST_LV_0200_20180327_000026	再也不用害怕了。{nl}绝对不会被抓去吃掉的。	더 이상 두렵지 않아요.{nl}절대 잡아먹히지 않을 겁니다.	의지의 부엉이 조각상
QUEST_LV_0200_20180327_000027	痛苦的猫头鹰雕像	괴로운 부엉이 조각상	
QUEST_LV_0200_20180327_000028	每天都过得好痛苦。{nl}我应该也很快就会被抓去吃掉。	하루하루가 정말 고통스러워요.{nl}아마 저도 곧 잡아먹히겠지요.	괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000029	邪恶气息渐渐渗透进森林。{nl}女神殿下到底去了哪裡呢？	숲이 점점 사악한 기운으로 물들어가요.{nl}여신께선 어디로 가신 걸까요?	괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000030	已顺利收到队长大人的心意了。{nl}会打起精神努力不输给怪物。	대장님의 마음 잘 받았습니다.{nl}몬스터에게 지지 않도록 힘낼 겁니다.	괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000031	队长大人如此用心…{nl}在女神殿下回来之前绝对不会被抓去吃掉的。	대장님께서 이렇게 애써주시는데..{nl}여신께서 돌아오실 때까지 절대로 잡아먹히지 않을 거예요.	괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000032	部下猫头鹰3	부하 부엉이3	
QUEST_LV_0200_20180327_000033	虽然我们总是在这个地方，但担心我们的女神殿下在哪裡呢？	우리는 항상 이곳에 있지만, 우리를 걱정하시는 여신께서는 어디 계시지?	부하 부엉이3
QUEST_LV_0200_20180327_000034	我们只是为了人类的灵魂而存在的吗？	우리는 인간의 영혼을 위해서만 존재하는 걸까?	부하 부엉이3
QUEST_LV_0200_20180327_000035	士兵 杜米尼克	병사 도미니크	
QUEST_LV_0200_20180327_000036	上头同时下达了死守岗位及进行搜查的命令。{nl}不懂到底是要我们做什麽才对。	자리를 사수하라는 명령과 정찰 명령이 동시에 내려왔습니다.{nl}도대체 어떻게 하라는 건지 모르겠네요.	병사 도미니크
