SKILL_20180327_000001	攻击	공격	
SKILL_20180327_000002	基本一般攻击	베이직 일반 공격	
SKILL_20180327_000003	攻击2	공격2	
SKILL_20180327_000004	技能	스킬	
SKILL_20180327_000005	大爆发	대폭발	
SKILL_20180327_000006	火焰之壁	화염의 벽	
SKILL_20180327_000007	地雷爆炸	지뢰 폭발	
SKILL_20180327_000008	猛毒爆炸	맹독 폭발	
SKILL_20180327_000009	克雷摩亚爆炸	크레모아 폭발	
SKILL_20180327_000010	跳跃攻击	점프공격	
SKILL_20180327_000011	生命流动	생명의 흐름	
SKILL_20180327_000012	冰河临风	빙하 쐐기	
SKILL_20180327_000013	种子爆炸	씨앗 폭발	
SKILL_20180327_000014	火山爆发	살불 폭발	
SKILL_20180327_000015	暴风雪	눈보라	
SKILL_20180327_000016	流星强打	유성 강타	
SKILL_20180327_000017	劈击	내려찍기	
SKILL_20180327_000018	飞弹攻击	미사일공격	
SKILL_20180327_000019	治癒	힐	
SKILL_20180327_000020	螺旋箭	스파이럴 애로우	
SKILL_20180327_000021	{#DD5500}{ol}[飞弹]{/}{/}{nl}以螺旋箭攻击敌人。弓箭会鑽进敌人，造成许多次的打击。	{#DD5500}{ol}[미사일]{/}{/}{nl}나선의 화살로 적을 공격합니다. 화살은 적을 파고들면서 여러 번의 타격을 입힙니다.	
SKILL_20180327_000022	攻击力#{SkillAtkAdd}#{nl}特性攻击力#{CaptionRatio2}#%{nl}打击数#{CaptionRatio}#次	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio2}#%{nl}타격 수 #{CaptionRatio}#회	
SKILL_20180327_000023	剧毒之箭	맹독 화살	
SKILL_20180327_000024	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}对目标发射高暴击率的箭矢。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}대상에게 치명타 확률이 높게 적용되는 화살을 발사합니다.	
SKILL_20180327_000025	攻击力#{SkillAtkAdd}#{nl}追加暴击机率50%	공격력 #{SkillAtkAdd}#{nl}추가 치명타 확률 50%	
SKILL_20180327_000026	体积缩小	크기 축소	
SKILL_20180327_000027	让对象的身体大小变小。	대상의 몸 크기를 작게합니다.	
SKILL_20180327_000028	大型->中型->小型{nl}持续时间 #{CaptionTime}#秒	대형->중형->소형{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000029	攻击加快	퀴큰	
SKILL_20180327_000030	增加对象的攻击速度。	대상의 공격속도를 증가시킵니다.	
