ITEM_20180327_000001	Empty_helmet	없음_helmet	
ITEM_20180327_000002	Murmillo Helmet	무르밀로 헬멧	
ITEM_20180327_000003	A gladiator helmet with no marks can mean one of two things. Either it's a new helmet that's never been used, or a really magnificent piece that won't scratch even with use.	검투사의 투구가 흠이 없다는 것은 둘 중 하나입니다. 새 투구를 처음 착용한 것이거나 아니면 수많은 시험을 거쳤음에도 흠이 나지 않는 엄청난 물건이란 뜻입니다.	
ITEM_20180327_000004	Plague Doctor Helmet	플레이그닥터 헬멧	
ITEM_20180327_000005	Many believe that Plague Doctors keep their drugs packed inside their equipment. While they wouldn't be wrong, their drugs are in fact compacted under the authority of priests. That is an important difference between competent healers and Plague Doctors.	플레이그닥터의 장비 안에는 효능 좋은 약이 들어차 있을 것이라 생각하는 사람이 많습니다. 틀린 생각은 아니지만 그 가득찬 약은 사제의 권능으로 뭉쳐져 있습니다. 이것이 유능한 치유사와 플레이그 닥터의 중요한 차이점입니다.	
ITEM_20180327_000006	Heart-Throb Wedding Veil Costume	두근두근 웨딩 면사포 코스튬	
ITEM_20180327_000007	Helmet [Female]	헬멧[여성]	
ITEM_20180327_000008	Worn by the beautiful bride on her wedding day.	결혼식 신부가 착용하는 코스튬 입니다.	
ITEM_20180327_000009	Fish Tank Helmet	어항 헬멧 코스튬	
ITEM_20180327_000010	Helmet	헬멧[공용]	
ITEM_20180327_000011	With this helmet you can look at fish from up close!	좀 더 물고기를 가까이서 볼 수 있는 어항 코스튬 입니다.	
ITEM_20180327_000012	Diver Helmet	다이빙 헬멧 코스튬	
ITEM_20180327_000013	Optimized for full submersion.	잠수에 최적화된 코스튬 입니다.	
ITEM_20180327_000014	Dragoon Helmet	드라군 헬멧	
ITEM_20180327_000015	Jack-o'-Lantern Helmet	잭오랜턴 헬멧	
ITEM_20180327_000016	A helmet that mimics the appearance of an evil face carved into a pumpkin.	호박의 속을 파내고 악마의 얼굴 모양으로 눈, 코, 입을 도려낸 투구입니다.	
ITEM_20180327_000017	Rudolph Helmet	루돌프 헬멧 코스튬	
ITEM_20180327_000018	Rudolph's red nose is a symbol of hope.	루돌프 빨간코는 희망의 상징입니다.	
ITEM_20180327_000019	Empty_armband	없음_armband	
ITEM_20180327_000020	Red Armband	붉은 암밴드	
ITEM_20180327_000021	Armband	암밴드	
ITEM_20180327_000022	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다.	
ITEM_20180327_000023	Knotted Armband	매듭진 암밴드	
ITEM_20180327_000024	Blood may not flow through if you tie it too tightly.	너무 세게 묶는다면 피가 통하지 않을 수도 있습니다.	
ITEM_20180327_000025	Long Armband	긴 암밴드	
ITEM_20180327_000026	Its long length makes it possible to be used as a substitute to bandage at urgent times.	길이가 길어 위급상황에서는 붕대 대용으로도 사용가능합니다.	
ITEM_20180327_000027	Feather Armband	깃털 장식 암밴드	
ITEM_20180327_000028	Decorated with feather. It is weak and should be handled with attention.	새의 깃털로 장식되어 있습니다. 내구성이 좋지 못하여 관리에 신경을 써주어야 합니다.	
ITEM_20180327_000029	Tasseled Armband	술달린 암밴드	
ITEM_20180327_000030	It is used for special offers and as a fashion item.	특별한 제의에 사용되지만 멋을 위해 착용하고 다니기도 합니다.	
ITEM_20180327_000031	Beginning of Savior Armband	태초의 구원자 암밴드	
ITEM_20180327_000032	An armband for players who participated in the 1st CBT.	1차 CBT에 참여하신 분들께 드리는 감사의 뜻을 담은 물건입니다.	
ITEM_20180327_000033	Chief Armband	치프 암밴드	
ITEM_20180327_000034	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되기도 합니다. 	
ITEM_20180327_000035	Silver Armband	실버 암밴드	
ITEM_20180327_000036	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되며, 상황에 따라 자랑할 기회가 되거나 위기를 불러올 수도 있습니다.	
ITEM_20180327_000037	Diamond Armband	다이아 암밴드	
ITEM_20180327_000038	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 가끔은 사람들 앞에서 일부러 유리에 흠집을 내는 모습을 보여주어도 좋습니다.	
ITEM_20180327_000039	Alcohol Decoration Armband	술 장식 암밴드	
ITEM_20180327_000040	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 술장식에 기념품을 달아 자신만의 개성을 나타내는 사람도 있다고 합니다. 	
ITEM_20180327_000041	Shaman Armband	샤먼 암밴드	
ITEM_20180327_000042	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 몇몇 사람들의 오해와는 달리 이 밴드의 모양새는 사두 마스터와는 아무런 관련이 없습니다.  	
ITEM_20180327_000043	Orient Armband	오리엔트 암밴드	
ITEM_20180327_000044	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 왕국의 해군력이 약하던 시절 유명한 해적단이 사용하던 장식이라는 설이 있습니다.	
ITEM_20180327_000045	Golden Armband	골든 암밴드	
ITEM_20180327_000046	An armband to commemorate those that participated in the Growth Support Servers.	시즌 한정 서버에 참여하신 분들께 감사한 마음으로 드리는 작은 기념품 암밴드입니다.	
ITEM_20180327_000047	Leaf Pattern Armband	잎사귀 무늬 암밴드	
ITEM_20180327_000048	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 신수의 날 이후 나무와 풀이라면 지겹다는 사람들도 이 밴드는 곧잘 차고 다닙니다.	
ITEM_20180327_000049	Dragonfly Armband	잠자리 암밴드	
ITEM_20180327_000050	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 절대로 실제 잠자리를 박제하여 붙인 것은 아닙니다. 	
ITEM_20180327_000051	Feelings Armband	느낌있는 암밴드	
ITEM_20180327_000052	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 아군 느낌 아니까..	
ITEM_20180327_000053	Ribbon Arm Band	리본 암밴드	
ITEM_20180327_000054	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 차고 있다고 자신이 누군가에게 선물이 되지는 않습니다.	
ITEM_20180327_000055	Thumbup Armband	엄지척 암밴드	
ITEM_20180327_000056	Wearing it will help you classify your allies.	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 또한 어쩐지 많은 사람의 지지를 받는 기분이 듭니다. 	
ITEM_20180327_000057	Guild Battle 1st Place Armband	길드 배틀 1위 암밴드	
ITEM_20180327_000058	An honorable armband awarded to members of the guild that achieves 1st Place in the Regional Guild Battles.	길드 배틀에서 1위를 달성한 길드원에게 주어지는 암밴드입니다.	
ITEM_20180327_000059	Guild Battle 2nd Place Armband	길드 배틀 2위 암밴드	
ITEM_20180327_000060	An honorable armband awarded to members of the guild that achieves 2nd Place in the Regional Guild Battles.	길드 배틀에서 2위를 달성한 길드원에게 주어지는 암밴드입니다.	
ITEM_20180327_000061	Guild Battle 3rd Place Armband	길드 배틀 3위 암밴드	
ITEM_20180327_000062	An honorable armband awarded to members of the guild that achieves 3rd Place in the Regional Guild Battles.	길드 배틀에서 3위를 달성한 길드원에게 주어지는 암밴드입니다.	
ITEM_20180327_000063	Class President Arm Band	선도 암밴드	
ITEM_20180327_000064	An arm band worn by the leader of the class.	선도부가 착용하는 암밴드입니다.	
ITEM_20180327_000065	Skull Arm Band	백골 암밴드	
ITEM_20180327_000066	An arm band worn by those who are up to no good.	불량 서클을 표시하는 암밴드입니다.	
ITEM_20180327_000067	Bunnies Arm Band	바니즈 암밴드	
ITEM_20180327_000068	A cute arm band featuring a bunny face.	귀여운 토끼가 인상적인 암밴드입니다.	
ITEM_20180327_000069	White Nurse Arm Band	순백의 암밴드	
ITEM_20180327_000070	A lovely heart gives a nice touch to this arm band.	흰색 하트가 인상적인 암밴드입니다.	
ITEM_20180327_000071	G9 Armband	지구의 행복 암밴드	
ITEM_20180327_000072	G9 Savior's Armband	지구가 행복해지기를 기원하는 구원자가 착용하는 암밴드입니다.	
ITEM_20180327_000073	Dionys Armband	디오니스 암밴드	
ITEM_20180327_000074	An armband produced to the image of Vakarine's Dyonis.	바카리네가 아끼는 디오니스를 모방한 암밴드입니다.	
ITEM_20180327_000075	No_hair	없음_hair	
ITEM_20180327_000076	Terius	테리우스	
ITEM_20180327_000077	Hairstyle [Male]	헤어[남성]	
ITEM_20180327_000078	Once the heir of one the more prestigious families fashioned their hair this way, many followed suit. It must be said however, it's difficult to capitalize on its charm without being attractive in the first place.	왕국의 유서깊은 가문의 계승자가 처음 이런 머리 모양을 한 후 상류층 사이에서 많은 이들이 이를 따라했습니다. 다만 외모가 받쳐주지 않는다면 완벽한 매력을 발산하기 약간 어렵습니다.	
ITEM_20180327_000079	Dandy Wave Curl	댄디 웨이브컬	
ITEM_20180327_000080	A hairstyle imitated by many, restored from around the time of the Millenary. However, it was mostly done by nobility due to it being difficult to cut and maintain.	천년제를 즈음하여 복원된 머리 모양으로 많은 사람들이 흉내를 내려 했으나 만들기도 유지하기도 어렵기 때문에 귀족들이 주로 하였습니다.	
ITEM_20180327_000081	短髮	숏 컷	
ITEM_20180327_000082	Wearing this will change your hairstyle.	짧은 머리가 예쁘게 어울립니다. 다만 머리를 짧게 자르는 일에 가장 큰 장점은 잘라낸 머리카락을 팔 수도 있다는 점입니다, 	
ITEM_20180327_000083	不對稱短髮	비대칭 숏 컷	
ITEM_20180327_000084	Wearing this will change your hairstyle.	상대가 당신의 살짝 가린 얼굴에 매력을 느낄 것입니다.	
ITEM_20180327_000085	飛機頭	리젠트	
ITEM_20180327_000086	Wearing this will change your hairstyle.	은근한 금빛을 머금은 머릿결이 한 줄기가 당신의 뒷모습을 빛나게 합니다.	
ITEM_20180327_000087	蓬鬆短髮	숏 샤기	
ITEM_20180327_000088	Wearing this will change your hairstyle.	밝고 가벼운 느낌을 주어 착용자를 멋지게 보이도록 합니다.	
ITEM_20180327_000089	西裝油頭	넘긴 머리	
ITEM_20180327_000090	Wearing this will change your hairstyle.	유행을 타지 않으면서도 멋을 잃지 않는 머리 모양입니다.	
ITEM_20180327_000091	嬰兒捲髮	베이비펌	
ITEM_20180327_000092	Wearing this will change your hairstyle.	이 머리 모양의 출현 시기는 약 80년전 도미펠 국왕의 통치기로 알려져 있습니다. 당시의 귀족들이 득세한 성직자 및 마법사와 구별하기 위해 고안되었으나 이후 많은 사람이 따라하면서 딱히 귀족의 머리모양만은 아니게 되었습니다.	
ITEM_20180327_000093	丹迪頭	댄디	
ITEM_20180327_000094	Wearing this will change your hairstyle.	이 머리모양을 창안한 사람은 르귄 가문의 선조 가운데 한 명이었다고 합니다.	
ITEM_20180327_000095	短馬尾	숏 포니테일	
ITEM_20180327_000096	Wearing this will change your hairstyle.	리디아 샤펜이 머리가 짧았던 시절에 그녀의 제자들이 스승을 따라하면서 생겨난 머리모양이라고 합니다. 기원이 여성이었지만, 이후 많은 남성들의 교정으로 현재의 남성 머리 모양으로도 존재합니다.	
ITEM_20180327_000097	貴族捲髮	노블 웨이브	
ITEM_20180327_000098	Wearing this will change your hairstyle.	밝은 금빛의 머리가 당신의 외모를 고귀하게 보이도록 합니다.	
ITEM_20180327_000099	陰影燙髮	쉐도우펌	
ITEM_20180327_000100	Wearing this will change your hairstyle.	단순한 기술로 만들어진 머리 모양이 아닙니다. 이 형태를 유지하기 위해 숨은 마법이 작용하고 있습니다. 그야말로 일상속의 마법이라 할 수 있습니다. 	
ITEM_20180327_000101	Root Lifted Wave Hairstyle	올림 웨이브	
ITEM_20180327_000102	Some say that a mere hairstyle cannot be a way to show one's respect for the goddesses.{nl}However, goddesses also have their preferences.	머리 모양 따위가 여신에 대한 공경을 보여줄 수 있는 시작점일 리가 없다고 말하는 사람도 있습니다. 그러나 여신께서도 취향을 지니고 계십니다. 	
ITEM_20180327_000103	Noble Ponytail	노블 포니테일	
ITEM_20180327_000104	A hairstyle that's come into fashion each time the kingdom was at peace. This hairstyle signifies longing for the peace of times past, before Medzio Diena.	왕국이 평화로운 시기마다 유행한 머리 모양입니다. 비록 신수의 날 이후의 시기이지만 그 시절을 다시 기원하는 마음이 담겨있습니다.	
ITEM_20180327_000105	Cockatrice Head (Male)	코카트리스 헤드(남)	
ITEM_20180327_000106	Helmet [Male]	헬멧[남성]	
ITEM_20180327_000107	Wear to change the appearance of your head. Hair Dyes will not apply.	착용 시 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.	
ITEM_20180327_000108	Quiff Style	퀴프 컷	
ITEM_20180327_000109	Wearing this will change your hairstyle.	이 머리 모양은 이케멜 국왕 시대에 왕국 밖의 부족사회에 전파되기도 했습니다.	
ITEM_20180327_000110	Noble Dandy Cut	노블 댄디 컷	
ITEM_20180327_000111	Wearing this will change your hairstyle.	활동적인 신사와 기품을 유지하려는 강한 남성들이 선호하는 머리 모양입니다.	
ITEM_20180327_000112	Curling Back Perm	컬링 백 펌	
ITEM_20180327_000113	Wearing this will change your hairstyle.	처음에는 이성과 강한 서약을 맺고 그것을 지키겠다는 의지를 나타내기 위한 머리 모양이었습니다. 지금에 이르러서는 그런 맹세의 의미는 남아있지 않습니다. 	
