QUEST_LV_0100_20180327_000001	Sentinel	경계병	
QUEST_LV_0100_20180327_000002	If you choose to go to Klaipeda, I recommend taking the Shadow Forest Road.{nl}The deep woods are dangerous, so try to stay away from there if you can.	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.	경계병
QUEST_LV_0100_20180327_000003	Man in Hiding	숨어있는 남자	
QUEST_LV_0100_20180327_000004	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? Hey... Are there still Vubbes outside?	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?	숨어있는 남자
QUEST_LV_0100_20180327_000005	Ugh. Go away! Don't talk to me! We'll get caught by the Vubbes!{nl}This is my place so leave!	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!	숨어있는 남자
QUEST_LV_0100_20180327_000006	What? Don't lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do not come near this barrel!	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!	숨어있는 남자
QUEST_LV_0100_20180327_000007	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? What are you looking at? Close the lid and move along!{nl}	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}	숨어있는 남자
QUEST_LV_0100_20180327_000008	What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!	숨어있는 남자
QUEST_LV_0100_20180327_000009	This paper, it's mine! I'm never giving it away again!!{nl}It's... not something you need - I'll just rip it apart. There.	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!	숨어있는 남자
QUEST_LV_0100_20180327_000010	Sheesh, that's lame...	쳇, 싱겁긴..	숨어있는 남자
QUEST_LV_0100_20180327_000011	雷堤夏	레티샤	
QUEST_LV_0100_20180327_000012	Hello! My name's Leticia and I'm in charge of the TP Shop.{nl}My shop is full of items that can help you in your adventures.{nl}	안녕하세요! TP샵을 맡고있는 레티샤 입니다.{nl}TP샵에는 계시자님의 모험을 도와드릴 많은 아이템을 팔고 있어요.{nl}	레티샤
QUEST_LV_0100_20180327_000013	Unlike other shops, here you can use 	TP샵은 다른 상점과는 다르게 	레티샤
QUEST_LV_0100_20180327_000014	to purchase items.{nl}You can recharge your TP at our Steam page, and you also get up to 5 free TP, which automatically recharge 1 TP at a time every 2 hours.{nl}	로 아이템을 구입하실 수 있습니다.{nl}TP는 TP샵에서 충전하실 수 있고, 무료로 2시간에 1TP씩 최대 5TP까지 충전해드리고 있어요.{nl}	레티샤
QUEST_LV_0100_20180327_000015	To revive on the same spot you'll need the 	전투 불능 시 제자리 부활이 가능한 	레티샤
QUEST_LV_0100_20180327_000016	靈魂水晶	소울 크리스탈	
QUEST_LV_0100_20180327_000017	,{nl}to boost your hair accessory stats, you need the 	,{nl}헤어 코스튬에 능력치를 붙여주는 	레티샤
QUEST_LV_0100_20180327_000018	魔法賦予卷軸	마법 부여 스크롤	
