QUEST_LV_0400_20180327_000001	Jugrinas	유그리나스	
QUEST_LV_0400_20180327_000002	Uh...? Are you here because of the warning...?{nl}No, let us talk later.	어..? 경고문 보고 오신 건가요..?{nl}아니, 이야긴 좀 있다 하겠습니다.	유그리나스
QUEST_LV_0400_20180327_000003	{nl}First, take this medicine, quick.{nl}This area is being affected by the dangerous Nobreer epidemic!	{nl}일단 이 약부터 드세요, 얼른.{nl}여긴 위험한 노브리어 역병이 퍼져 있는 곳입니다!	유그리나스
QUEST_LV_0400_20180327_000004	{nl}Even the Plague Doctor Master has been unable to identify the source of the epidemic.{nl}It was discovered in the residents of Nobreer Forest after Medzio Diena.	{nl}플레이그 닥터 마스터께서도 아직 원인을 파악하지 못한 끔찍한 역병이에요.{nl}신수의 날 이후 노브리어 숲에 피난왔던 사람들에게서 발견되었죠.	유그리나스
QUEST_LV_0400_20180327_000005	{nl}Falling ill means you can end in a slow, torturous death.{nl}Take it before it's too late, hurry!	{nl}노브리어 역병에 걸리게 되면 끔찍한 고통과 함께 서서히 죽어가게 돼요.{nl}늦기 전에 어서 드세요, 어서!	유그리나스
QUEST_LV_0400_20180327_000006	I hope it won't be too late.{nl}The medicine is not yet complete, you see.	부디 늦지 않았길 바랍니다.{nl}그 약도 아직 완성된 건 아니거든요.	유그리나스
QUEST_LV_0400_20180327_000007	As of now it is more of a preventative drug, rather than a cure.{nl}It won't have any effect if you are already ill, so please hurry and take it.	그 약도 아직은 치료제라기보다는 예방약에 가까운 상황이죠.{nl}노브리어의 역병에 걸린 상태에선 아무 소용이 없으니 어서 약을 드세요.	유그리나스
QUEST_LV_0400_20180327_000008	If you feel feverish or dizzy, even a little... Please, let me know.	열이 나는 것 같다거나 어지럽다거나.. 조금이라도 이상하면 말해주세요.	유그리나스
QUEST_LV_0400_20180327_000009	I'm glad you seem to be safe.{nl}My name is Jugrinas.{nl}I'm a Plague Doctor and I'm researching the Nobreer epidemic.	괜찮아 보이니 다행이네요.{nl}저는 유그리나스라고 합니다.{nl}이 곳에서 노브리어 역병에 대해 조사하고 있는 플레이그 닥터입니다.	유그리나스
QUEST_LV_0400_20180327_000010	{nl}As I mentioned earlier, the epidemic was first found in refugee groups.{nl}The Plague Doctor Master was only able to stop it from spreading, but no more than that.	{nl}노브리어 역병은 아까 말씀드린대로 피난민들 사이에서 발견된 끔찍한 병입니다.{nl}플레이그 닥터 마스터께서 직접 나섰지만 더 이상의 악화를 막는 것이 한계였죠.	유그리나스
QUEST_LV_0400_20180327_000011	{nl}After progress slowed down, Cicas and I were sent here by the Master to research the disease.{nl}Unfortunately, we missed the right time to take the medicine and fell ill.	{nl}결국 더 이상의 진전이 없자 역병이 시작된 이 곳의 조사를 위해 저를 보내셨습니다.{nl}하지만 저와 함께 온 시카스가 조사하느라 약 먹을 시기를 놓쳐서 역병에 걸렸어요.	유그리나스
QUEST_LV_0400_20180327_000012	{nl}Someone should be replacing us soon, as we find it too difficult to move the patients.{nl}I simply regret having to go back with no results.	{nl}환자를 데리고 돌아가기는 어려워서 지원을 요청했으니 얼마 후면 사람이 올 겁니다.{nl}다만, 아무 소득없이 돌아가야 한다는 게 답답하네요.	유그리나스
QUEST_LV_0400_20180327_000013	{nl}Thinking about all the patients still suffering from horrible pain, I...	{nl}지금도 끔찍한 고통에 시달리는 환자들을 생각하면 정말..	유그리나스
QUEST_LV_0400_20180327_000014	Will you really?{nl}I'm terribly sorry to ask since it's our first time meeting but...{nl}I will accept your favor, for the good of the patients.	그래 주시겠어요?{nl}처음 뵌 분에게 이런 부탁을 하게 되어서 염치없지만..{nl}고통받고 있는 환자들을 생각해서 부탁드리겠습니다.{nl}	유그리나스
QUEST_LV_0400_20180327_000015	I left a few containers near the entrance of Emmet Forest with a solution that absorbs airborne substances.{nl}If any are connected to the disease, they'll have been absorbed by it.{nl}	에메트 숲 입구 쪽에 가면 공기 중에 떠도는 성분들을 흡수하는 시험액을 담아 둔 통이 있습니다.{nl}역병에 관한 성분이 있다면 시험액에 흡수되었을 겁니다.{nl}	유그리나스
QUEST_LV_0400_20180327_000016	Will you bring me some of that testing solution?{nl}I left a few spread around the area, so you may collect a little from each container.	그러니 그 통에서 시험액을 좀 담아와 주시겠어요?{nl}여러 개 설치해두었으니 골고루 담아와주시면 됩니다.	유그리나스
