ITEM_20180327_000001	없음_helmet	
ITEM_20180327_000002	무르밀로 헬멧	
ITEM_20180327_000003	검투사의 투구가 흠이 없다는 것은 둘 중 하나입니다. 새 투구를 처음 착용한 것이거나 아니면 수많은 시험을 거쳤음에도 흠이 나지 않는 엄청난 물건이란 뜻입니다.	
ITEM_20180327_000004	플레이그닥터 헬멧	
ITEM_20180327_000005	플레이그닥터의 장비 안에는 효능 좋은 약이 들어차 있을 것이라 생각하는 사람이 많습니다. 틀린 생각은 아니지만 그 가득찬 약은 사제의 권능으로 뭉쳐져 있습니다. 이것이 유능한 치유사와 플레이그 닥터의 중요한 차이점입니다.	
ITEM_20180327_000006	두근두근 웨딩 면사포 코스튬	
ITEM_20180327_000007	헬멧[여성]	
ITEM_20180327_000008	결혼식 신부가 착용하는 코스튬 입니다.	
ITEM_20180327_000009	어항 헬멧 코스튬	
ITEM_20180327_000010	헬멧[공용]	
ITEM_20180327_000011	좀 더 물고기를 가까이서 볼 수 있는 어항 코스튬 입니다.	
ITEM_20180327_000012	다이빙 헬멧 코스튬	
ITEM_20180327_000013	잠수에 최적화된 코스튬 입니다.	
ITEM_20180327_000014	드라군 헬멧	
ITEM_20180327_000015	잭오랜턴 헬멧	
ITEM_20180327_000016	호박의 속을 파내고 악마의 얼굴 모양으로 눈, 코, 입을 도려낸 투구입니다.	
ITEM_20180327_000017	루돌프 헬멧 코스튬	
ITEM_20180327_000018	루돌프 빨간코는 희망의 상징입니다.	
ITEM_20180327_000019	없음_armband	
ITEM_20180327_000020	붉은 암밴드	
ITEM_20180327_000021	암밴드	
ITEM_20180327_000022	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다.	
ITEM_20180327_000023	매듭진 암밴드	
ITEM_20180327_000024	너무 세게 묶는다면 피가 통하지 않을 수도 있습니다.	
ITEM_20180327_000025	긴 암밴드	
ITEM_20180327_000026	길이가 길어 위급상황에서는 붕대 대용으로도 사용가능합니다.	
ITEM_20180327_000027	깃털 장식 암밴드	
ITEM_20180327_000028	새의 깃털로 장식되어 있습니다. 내구성이 좋지 못하여 관리에 신경을 써주어야 합니다.	
ITEM_20180327_000029	술달린 암밴드	
ITEM_20180327_000030	특별한 제의에 사용되지만 멋을 위해 착용하고 다니기도 합니다.	
ITEM_20180327_000031	태초의 구원자 암밴드	
ITEM_20180327_000032	1차 CBT에 참여하신 분들께 드리는 감사의 뜻을 담은 물건입니다.	
ITEM_20180327_000033	치프 암밴드	
ITEM_20180327_000034	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되기도 합니다. 	
ITEM_20180327_000035	실버 암밴드	
