QUEST_LV_0100_20180327_000001	Sentinela	경계병	
QUEST_LV_0100_20180327_000002	Se decidir ir a Klaipeda, recomendo ir por Shadow Forest Road.{nl}O interior da Floresta é perigoso, então tente não ir muito fundo, se possível.	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.	경계병
QUEST_LV_0100_20180327_000003	Homem Escondido	숨어있는 남자	
QUEST_LV_0100_20180327_000004	F-Finalmente...! A ajuda chegou?{nl}Huh?! Mas é uma criança? Hey... ainda tem Vubbes lá fora?	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?	숨어있는 남자
QUEST_LV_0100_20180327_000005	Ugh. Sai daqui! Não fale comigo! Os Vubbes vão pegar a gente!{nl}Esse lugar é meu, sai daqui!	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!	숨어있는 남자
QUEST_LV_0100_20180327_000006	Como? Não mente! Dá pra sentir o cheiro de Vubbe daqui.{nl}Você não consegue enganar um adulto! Cai fora! Não chegue perto desse barril!	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!	숨어있는 남자
QUEST_LV_0100_20180327_000007	Fi... Finalmente! Os reforços chegaram?{nl}Hein?! É só um moleque? Tá olhando o quê? Fecha a tampa e vai embora!{nl}	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}	숨어있는 남자
QUEST_LV_0100_20180327_000008	Que papel é esse que você tá segurando? Parece familiar...{nl}Deixa eu ver! O que você tá fazendo? Ei, tem um adulto falando com você!	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!	숨어있는 남자
QUEST_LV_0100_20180327_000009	Esse papel, ele é meu! Não mais vou me separar dele!!{nl}Não é... algo que você vai precisar - vou rasgá-lo. Pronto.	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!	숨어있는 남자
QUEST_LV_0100_20180327_000010	Putz, que droga...	쳇, 싱겁긴..	숨어있는 남자
QUEST_LV_0100_20180327_000011	雷堤夏	레티샤	
QUEST_LV_0100_20180327_000012	Olá!{nl}Meu nome é Leticia e esta é a Loja de TP!{nl}Minha loja tem muitos itens que podem ajudar você nesta aventura.{nl}	안녕하세요! TP샵을 맡고있는 레티샤 입니다.{nl}TP샵에는 계시자님의 모험을 도와드릴 많은 아이템을 팔고 있어요.{nl}	레티샤
QUEST_LV_0100_20180327_000013	Diferente de outras lojas, aqui você pode usar 	TP샵은 다른 상점과는 다르게 	레티샤
QUEST_LV_0100_20180327_000014	 para comprar os itens.{nl}Você pode recarregar seus TP na loja da Steam,{nl}além de ganhar até 5 TP grátis,{nl}que recarregam 1 TP a cada 2 horas.	로 아이템을 구입하실 수 있습니다.{nl}TP는 TP샵에서 충전하실 수 있고, 무료로 2시간에 1TP씩 최대 5TP까지 충전해드리고 있어요.{nl}	레티샤
QUEST_LV_0100_20180327_000015	Para renascer no mesmo local, você precisa de 	전투 불능 시 제자리 부활이 가능한 	레티샤
QUEST_LV_0100_20180327_000016	靈魂水晶	소울 크리스탈	
QUEST_LV_0100_20180327_000017	,{nl}para melhorar os Acessórios, você precisa de 	,{nl}헤어 코스튬에 능력치를 붙여주는 	레티샤
QUEST_LV_0100_20180327_000018	魔法賦予卷軸	마법 부여 스크롤	
QUEST_LV_0100_20180327_000019	.{nl}Você pode vestir vários 	 같은 소모품과{nl}의상을 멋지게 꾸미는 각종 	레티샤
QUEST_LV_0100_20180327_000020	套裝	코스튬	
QUEST_LV_0100_20180327_000021	{nl}e mover-se rapidamente usando 	{nl}그리고 빠른 이동을 도와주는 귀여운 	레티샤
QUEST_LV_0100_20180327_000022	寵物	컴패니언	
QUEST_LV_0100_20180327_000023	. Fique a vontade, tenho certeza que vai achar o que precisa.{nl}	 까지 다양한 상품이 준비되어있어요.{nl}	레티샤
QUEST_LV_0100_20180327_000024	Clique no botão 	구매 방법은 원하시는 아이템을 	레티샤
QUEST_LV_0100_20180327_000025	Add	담기	레티샤
QUEST_LV_0100_20180327_000026	 nos itens que você deseja, então clique 	 버튼으로 선택하시고 	레티샤
QUEST_LV_0100_20180327_000027	購買確定	구매 확정	
QUEST_LV_0100_20180327_000028	 para comprar os itens.{nl}	 버튼으로 구매하실 수 있어요.{nl}	레티샤
QUEST_LV_0100_20180327_000029	Agora que você conhece a loja, visite sempre que puder!{nl}O 	이제 샵을 열어드릴 테니 한번 구경해보세요.{nl}그리고 제가 드린 	레티샤
QUEST_LV_0100_20180327_000030	[活動]VIP 7天	토큰:7일[증정용]	
QUEST_LV_0100_20180327_000031	que te dei será muito útil também.{nl}Recomendo que você experimente 	을 사용하시면 큰 도움이 되어드릴 거에요.{nl}TP샵에서 판매 중인 	레티샤
QUEST_LV_0100_20180327_000032	VIP	토큰	
QUEST_LV_0100_20180327_000033	, que está a venda na Loja de TP!	도 추천해 드리니 꼭! 사용해보세요.	레티샤
QUEST_LV_0100_20180327_000034	釣魚場管理員 悠夏	낚시터 관리인 요하	요하의 미꾸라지통
