SKILL_20180327_000001	Attack	공격	
SKILL_20180327_000002	Basic Normal Attack	베이직 일반 공격	
SKILL_20180327_000003	Attack 2	공격2	
SKILL_20180327_000004	Skills	스킬	
SKILL_20180327_000005	Large explosion	대폭발	
SKILL_20180327_000006	Wall of Flame	화염의 벽	
SKILL_20180327_000007	Mine explosion	지뢰 폭발	
SKILL_20180327_000008	Toxic explosion	맹독 폭발	
SKILL_20180327_000009	Claymore explosion	크레모아 폭발	
SKILL_20180327_000010	Jump Attack	점프공격	
SKILL_20180327_000011	Life Stream	생명의 흐름	
SKILL_20180327_000012	Glacier Wedge	빙하 쐐기	
SKILL_20180327_000013	Seed explosion	씨앗 폭발	
SKILL_20180327_000014	Flame explosion	살불 폭발	
SKILL_20180327_000015	Snowstorm	눈보라	
SKILL_20180327_000016	Meteor Bang	유성 강타	
SKILL_20180327_000017	Smack Down	내려찍기	
SKILL_20180327_000018	Missile attack	미사일공격	
SKILL_20180327_000019	Heal	힐	
SKILL_20180327_000020	Spiral Arrow	스파이럴 애로우	
SKILL_20180327_000021	{#DD5500}{ol}[Missile]{/}{/}{nl}Fires a spiraling arrow that deals multiple hits to a target.	{#DD5500}{ol}[미사일]{/}{/}{nl}나선의 화살로 적을 공격합니다. 화살은 적을 파고들면서 여러 번의 타격을 입힙니다.	
SKILL_20180327_000022	Attack: #{SkillAtkAdd}#{nl}Attribute Damage: #{CaptionRatio2}#%{nl}Number of Hits: #{CaptionRatio}#	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio2}#%{nl}타격 수 #{CaptionRatio}#회	
SKILL_20180327_000023	Poisonous Arrow	맹독 화살	
SKILL_20180327_000024	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Shoot arrow to target with high chance of critical.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}대상에게 치명타 확률이 높게 적용되는 화살을 발사합니다.	
SKILL_20180327_000025	Attack: #{SkillAtkAdd}#{nl}Additional Critical Chance 50%	공격력 #{SkillAtkAdd}#{nl}추가 치명타 확률 50%	
SKILL_20180327_000026	Shrink Body	크기 축소	
SKILL_20180327_000027	Shrinks the size of a target's body.	대상의 몸 크기를 작게합니다.	
SKILL_20180327_000028	Large ??Medium ??Small {nl}Duração: #{CaptionTime}# segundos	대형->중형->소형{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000029	Quicken	퀴큰	
SKILL_20180327_000030	Increases the target's attack speed.	대상의 공격속도를 증가시킵니다.	
SKILL_20180327_000031	Velocidad ede Ataque: +#{CaptionRatio}#{nl}Duração: #{CaptionTime}# segundos	공격속도 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000032	Multi Shot	멀티샷	
SKILL_20180327_000033	{#DD5500}{ol}[Physical] - [Missile]{/}{/}{nl}Charge up and then quickly launch multiple shots at a targeted area.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}지정한 위치에 여러발의 화살을 빠르게 발사합니다.	
SKILL_20180327_000034	Attack: #{SkillAtkAdd}#{nl}Number of Shots: #{CaptionRatio}#	공격력 #{SkillAtkAdd}#{nl}#{CaptionRatio}#회 사격	
SKILL_20180327_000035	Stone Curse	스톤커스	
SKILL_20180327_000036	Temporarily petrify an enemy.	적을 일시적으로 석화 상태로 만듭니다.	
SKILL_20180327_000037	Duração: #{CaptionTime}# segundos{nl}Taxa de Ataque em Área: #{CaptionRatio}#	지속시간 #{CaptionTime}#초{nl}광역 공격 비율 #{CaptionRatio}#	
SKILL_20180327_000038	Magic Missile	매직 미사일	
SKILL_20180327_000039	{#993399}{ol}[Magic]{/}{/}{nl}Attack enemies consecutively by using magic bullets. An additional bullet is fired when attacking enemies who are asleep.	{#993399}{ol}[마법]{/}{/}{nl}마법의 탄환으로 적을 연속 공격합니다. 슬리프에 걸린 적을 맞추면 새로운 탄환이 생성되어 날아갑니다.	
SKILL_20180327_000040	Attack: #{SkillAtkAdd}#{nl}3 Magic Missiles	공격력 #{SkillAtkAdd}#{nl}매직 미사일 3개	
SKILL_20180327_000041	Joint Penalty	조인트 페널티	
SKILL_20180327_000042	Link enemies to cause them to share the damage they take.	적들을 서로 연결해 동시에 공격당하도록 합니다.	
SKILL_20180327_000043	Maximum Links: #{SkillFactor}#{nl}Duração: #{CaptionTime}# segundos	최대 링크 수 #{SkillFactor}#개{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000044	破壞盔甲	아머 브레이크	
SKILL_20180327_000045	Removes the armor's effect from the target.	대상의 방어구의 효력을 없앱니다.	
SKILL_20180327_000046	防禦力弱化	방어력 약화	
SKILL_20180327_000047	Decreases the target's defense.	대상의 방어력을 낮춥니다.	
SKILL_20180327_000048	Death Sentence	죽음의 선고	
SKILL_20180327_000049	Sentence the enemy to death. The sentenced target dies when time is up.	적에게 죽음을 선고합니다. 죽음을 선고받은 대상은 예정 시간이 지나면 반드시 죽습니다.	
SKILL_20180327_000050	Sentence Duração: #{CaptionRatio}# segundos	선고 지속시간 #{CaptionRatio}#초	
SKILL_20180327_000051	Bodkin Point	보드킨 포인트	
SKILL_20180327_000052	{#DD5500}{ol}[Missile]{/}{/}{nl}Fires a high-penetration bodkin arrow at an enemy. Lowers the defense of struck enemies and nullifies any protective magic.	{#DD5500}{ol}[미사일]{/}{/}{nl}관통력이 강한 보드킨 화살을 발사합니다. 이 화살에 맞은 적은 일시적으로 방어력이 감소되며, 적을 보호하던 마법을 무효화합니다.	
SKILL_20180327_000053	Attack: #{SkillAtkAdd}#{nl}Attribute Damage: #{CaptionRatio2}#%{nl}Physical Defense: -#{CaptionRatio}#% {nl}Removes Reflect Shield{nl}Consumes 1 Bodkin Arrow	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio2}#%{nl}물리 방어력 #{CaptionRatio}#% 감소{nl}리플렉트 실드 제거{nl}보드킨포인트 애로우 1개 소비	
SKILL_20180327_000054	Barrier	배리어	
SKILL_20180327_000055	Empurra os inimigos e cria uma barreira de proteção, não permitindo a entrada deles por um determinado tempo. Aumenta a Defesa Mágica de aliados que estiverem dentro da barreira.	주변의 적들을 바깥으로 밀어내고 한동안 들어올 수 없게 하는 방호의 벽을 세웁니다. 벽 안쪽 아군의 마법 방어력을 향상시킵니다.	
SKILL_20180327_000056	Magic Defense: +#{CaptionRatio}#{nl}Duração: #{CaptionTime}# segundos	마법 방어력 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000057	Golden Bell Shield	금종조	
SKILL_20180327_000058	Change to a state where you become temporarily invincible from all attacks.	일시적으로 모든 공격으로부터 무적 상태가 됩니다. 	
SKILL_20180327_000059	Duração máxima: #{CaptionTime}# segundos{nl}Able to block magic & long-ranged projectiles	최대 지속시간 #{CaptionTime}#초{nl}원거리 발사체, 마법 방어 가능	
SKILL_20180327_000060	Gust	거스트	
SKILL_20180327_000061	Creates a strong gust of wind that pushes enemies. When inflicting damage on a frozen enemy, it will unfreeze.	강풍을 일으켜 적들을 밀쳐냅니다. 결빙된 적에게 사용하면 피해를 주면서, 결빙을 해제시킵니다.	
