SKILL_20180327_000001	攻擊	공격				
SKILL_20180327_000002	基本一般攻擊	베이직 일반 공격				
SKILL_20180327_000003	攻擊2	공격2				
SKILL_20180327_000004	技能	스킬				
SKILL_20180327_000005	大爆發	대폭발				
SKILL_20180327_000006	火焰之壁	화염의 벽				
SKILL_20180327_000007	地雷爆炸	지뢰 폭발				
SKILL_20180327_000008	猛毒爆炸	맹독 폭발				
SKILL_20180327_000009	克雷摩亞爆炸	크레모아 폭발				
SKILL_20180327_000010	跳躍攻擊	점프공격				
SKILL_20180327_000011	生命流動	생명의 흐름				
SKILL_20180327_000012	冰河臨風	빙하 쐐기				
SKILL_20180327_000013	種子爆炸	씨앗 폭발				
SKILL_20180327_000014	火山爆發	살불 폭발				
SKILL_20180327_000015	暴風雪	눈보라				
SKILL_20180327_000016	流星強打	유성 강타				
SKILL_20180327_000017	劈擊	내려찍기				
SKILL_20180327_000018	飛彈攻擊	미사일공격				
SKILL_20180327_000019	治癒	힐				
SKILL_20180327_000020	螺旋箭	스파이럴 애로우				
SKILL_20180327_000021	{#DD5500}{ol}[飛彈]{/}{/}{nl}以螺旋箭攻擊敵人。弓箭會鑽進敵人，造成許多次的打擊。	{#DD5500}{ol}[미사일]{/}{/}{nl}나선의 화살로 적을 공격합니다. 화살은 적을 파고들면서 여러 번의 타격을 입힙니다.				
SKILL_20180327_000022	攻擊力#{SkillAtkAdd}#{nl}特性攻擊力#{CaptionRatio2}#%{nl}打擊數#{CaptionRatio}#次	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio2}#%{nl}타격 수 #{CaptionRatio}#회				
SKILL_20180327_000023	劇毒之箭	맹독 화살				
SKILL_20180327_000024	{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}對目標發射高暴擊率的箭矢。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}대상에게 치명타 확률이 높게 적용되는 화살을 발사합니다.				
SKILL_20180327_000025	攻擊力#{SkillAtkAdd}#{nl}追加暴擊機率50%	공격력 #{SkillAtkAdd}#{nl}추가 치명타 확률 50%				
SKILL_20180327_000026	體積縮小	크기 축소				
SKILL_20180327_000027	讓對象的身體大小變小。	대상의 몸 크기를 작게합니다.				
SKILL_20180327_000028	大型->中型->小型{nl}持續時間 #{CaptionTime}#秒	대형->중형->소형{nl}지속시간 #{CaptionTime}#초				
SKILL_20180327_000029	攻擊加快	퀴큰				
SKILL_20180327_000030	增加對象的攻擊速度。	대상의 공격속도를 증가시킵니다.				
SKILL_20180327_000031	增加攻擊速度#{CaptionRatio}#。{nl}持續時間#{CaptionTime}#秒	공격속도 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초				
SKILL_20180327_000032	多重射擊	멀티샷				
SKILL_20180327_000033	{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}對指定的位置快速發射許多發的弓箭。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}지정한 위치에 여러발의 화살을 빠르게 발사합니다.				
SKILL_20180327_000034	攻擊力#{SkillAtkAdd}#{nl}#{CaptionRatio}#次射擊	공격력 #{SkillAtkAdd}#{nl}#{CaptionRatio}#회 사격				
SKILL_20180327_000035	石化詛咒	스톤커스				
SKILL_20180327_000036	暫時讓敵人變成石化狀態。	적을 일시적으로 석화 상태로 만듭니다.				
SKILL_20180327_000037	持續時間 #{CaptionTime}#秒{nl}範圍攻擊比率 #{CaptionRatio}#	지속시간 #{CaptionTime}#초{nl}광역 공격 비율 #{CaptionRatio}#				
SKILL_20180327_000038	魔法飛彈	매직 미사일				
